time,C,D,E,I,S,T
2.8241, 3795.2241763, 284.4822492, 1.8848000, 2160.7612123, 2879.6028535,-18.8674762
2.8272, 3794.2122231, 284.9288948, 1.8868667, 2161.1890551, 2878.2435060,-18.9911801
2.8303, 3793.1995593, 285.3756284, 1.8889333, 2161.6150344, 2876.8854566,-19.1143723
2.8334, 3792.1861898, 285.8224498, 1.8910000, 2162.0391534, 2875.5287071,-19.2370533
2.8365, 3791.1721194, 286.2693586, 1.8930667, 2162.4614155, 2874.1732594,-19.3592236
2.8396, 3790.1573529, 286.7163544, 1.8951333, 2162.8818240, 2872.8191152,-19.4808836
2.8427, 3789.1418952, 287.1634368, 1.8972000, 2163.3003820, 2871.4662763,-19.6020339
2.8458, 3788.1257512, 287.6106054, 1.8992667, 2163.7170928, 2870.1147444,-19.7226750
2.8489, 3787.1089256, 288.0578599, 1.9013333, 2164.1319598, 2868.7645212,-19.8428073
2.852, 3786.0914233, 288.5051999, 1.9034000, 2164.5449862, 2867.4156084,-19.9624314
2.8551, 3785.0732491, 288.9526249, 1.9054667, 2164.9561753, 2866.0680078,-20.0815478
2.8582, 3784.0544079, 289.4001347, 1.9075333, 2165.3655303, 2864.7217209,-20.2001569
2.8613, 3783.0349044, 289.8477287, 1.9096000, 2165.7730545, 2863.3767494,-20.3182594
2.8644, 3782.0147436, 290.2954068, 1.9116667, 2166.1787511, 2862.0330949,-20.4358557
2.8675, 3780.9939301, 290.7431684, 1.9137333, 2166.5826235, 2860.6907590,-20.5529464
2.8706, 3779.9724689, 291.1910132, 1.9158000, 2166.9846749, 2859.3497433,-20.6695320
2.8737, 3778.9503646, 291.6389408, 1.9178667, 2167.3849085, 2858.0100493,-20.7856131
2.8768, 3777.9276222, 292.0869509, 1.9199333, 2167.7833277, 2856.6716787,-20.9011901
2.8799, 3776.9042464, 292.5350430, 1.9220000, 2168.1799356, 2855.3346328,-21.0162637
2.883, 3775.8802420, 292.9832169, 1.9240667, 2168.5747356, 2853.9989132,-21.1308344
2.8861, 3774.8556138, 293.4314721, 1.9261333, 2168.9677308, 2852.6645214,-21.2449027
2.8892, 3773.8303666, 293.8798082, 1.9282000, 2169.3589246, 2851.3314588,-21.3584692
2.8923, 3772.8045051, 294.3282249, 1.9302667, 2169.7483203, 2849.9997269,-21.4715345
2.8954, 3771.7780342, 294.7767218, 1.9323333, 2170.1359210, 2848.6693271,-21.5840992
2.8985, 3770.7509585, 295.2252986, 1.9344000, 2170.5217300, 2847.3402608,-21.6961637
2.9016, 3769.7232829, 295.6739548, 1.9364667, 2170.9057506, 2846.0125293,-21.8077287
2.9047, 3768.6950121, 296.1226901, 1.9385333, 2171.2879860, 2844.6861341,-21.9187948
2.9078, 3767.6661509, 296.5715042, 1.9406000, 2171.6684395, 2843.3610765,-22.0293626
2.9109, 3766.6367040, 297.0203966, 1.9426667, 2172.0471143, 2842.0373578,-22.1394326
2.914, 3765.6066761, 297.4693671, 1.9447333, 2172.4240137, 2840.7149794,-22.2490054
2.9171, 3764.5760720, 297.9184151, 1.9468000, 2172.7991409, 2839.3939424,-22.3580816
2.9202, 3763.5448964, 298.3675404, 1.9488667, 2173.1724992, 2838.0742482,-22.4666619
2.9233, 3762.5131541, 298.8167427, 1.9509333, 2173.5440918, 2836.7558980,-22.5747467
2.9264, 3761.4808497, 299.2660214, 1.9530000, 2173.9139219, 2835.4388931,-22.6823368
2.9295, 3760.4479880, 299.7153763, 1.9550667, 2174.2819928, 2834.1232346,-22.7894328
2.93259999999999, 3759.4145737, 300.1648071, 1.9571333, 2174.6483077, 2832.8089239,-22.8960352
2.93569999999999, 3758.3806114, 300.6143133, 1.9592000, 2175.0128699, 2831.4959619,-23.0021446
2.93879999999999, 3757.3461059, 301.0638945, 1.9612667, 2175.3756826, 2830.1843500,-23.1077617
2.94189999999999, 3756.3110619, 301.5135505, 1.9633333, 2175.7367490, 2828.8740892,-23.2128871
2.94499999999999, 3755.2754840, 301.9632809, 1.9654000, 2176.0960724, 2827.5651806,-23.3175215
2.94809999999999, 3754.2393768, 302.4130852, 1.9674667, 2176.4536560, 2826.2576254,-23.4216653
2.95119999999999, 3753.2027452, 302.8629632, 1.9695333, 2176.8095030, 2824.9514247,-23.5253194
2.95429999999999, 3752.1655937, 303.3129145, 1.9716000, 2177.1636166, 2823.6465794,-23.6284843
2.95739999999999, 3751.1279270, 303.7629387, 1.9736667, 2177.5160002, 2822.3430908,-23.7311606
2.96049999999999, 3750.0897497, 304.2130355, 1.9757333, 2177.8666568, 2821.0409597,-23.8333490
2.96359999999999, 3749.0510666, 304.6632045, 1.9778000, 2178.2155898, 2819.7401873,-23.9350501
2.96669999999999, 3748.0118821, 305.1134454, 1.9798667, 2178.5628023, 2818.4407744,-24.0362646
2.96979999999999, 3746.9722009, 305.5637577, 1.9819333, 2178.9082975, 2817.1427222,-24.1369932
2.97289999999999, 3745.9320277, 306.0141412, 1.9840000, 2179.2520788, 2815.8460315,-24.2372363
2.97599999999999, 3744.8913671, 306.4645955, 1.9860667, 2179.5941492, 2814.5507033,-24.3369949
2.97909999999999, 3743.8502237, 306.9151203, 1.9881333, 2179.9345120, 2813.2567385,-24.4362694
2.98219999999999, 3742.8086020, 307.3657151, 1.9902000, 2180.2731705, 2811.9641381,-24.5350605
2.98529999999999, 3741.7665067, 307.8163797, 1.9922667, 2180.6101278, 2810.6729028,-24.6333689
2.98839999999999, 3740.7239423, 308.2671136, 1.9943333, 2180.9453871, 2809.3830337,-24.7311953
2.99149999999999, 3739.6809135, 308.7179166, 1.9964000, 2181.2789517, 2808.0945316,-24.8285403
2.99459999999999, 3738.6374247, 309.1687883, 1.9984667, 2181.6108247, 2806.8073972,-24.9254046
2.99769999999999, 3737.5934806, 309.6197283, 2.0005333, 2181.9410093, 2805.5216315,-25.0217889
3.00079999999999, 3736.5490857, 310.0707363, 2.0026000, 2182.2695088, 2804.2372352,-25.1176938
3.00389999999999, 3735.5042445, 310.5218119, 2.0046667, 2182.5963264, 2802.9542092,-25.2131200
3.00699999999999, 3734.4589616, 310.9729549, 2.0067333, 2182.9214652, 2801.6725541,-25.3080682
3.01009999999999, 3733.4132415, 311.4241648, 2.0088000, 2183.2449284, 2800.3922709,-25.4025391
3.01319999999999, 3732.3670887, 311.8754412, 2.0108667, 2183.5667192, 2799.1133601,-25.4965333
3.01629999999999, 3731.3205078, 312.3267840, 2.0129333, 2183.8868408, 2797.8358226,-25.5900515
3.01939999999999, 3730.2735032, 312.7781926, 2.0150000, 2184.2052964, 2796.5596590,-25.6830945
3.02249999999999, 3729.2260795, 313.2296668, 2.0170667, 2184.5220892, 2795.2848701,-25.7756628
3.02559999999999, 3728.1782411, 313.6812063, 2.0191333, 2184.8372224, 2794.0114566,-25.8677573
3.02869999999999, 3727.1299925, 314.1328106, 2.0212000, 2185.1506991, 2792.7394190,-25.9593785
3.03179999999999, 3726.0813382, 314.5844795, 2.0232667, 2185.4625226, 2791.4687580,-26.0505273
3.03489999999999, 3725.0322826, 315.0362125, 2.0253333, 2185.7726959, 2790.1994743,-26.1412042
3.03799999999999, 3723.9828302, 315.4880094, 2.0274000, 2186.0812223, 2788.9315686,-26.2314099
3.04109999999999, 3722.9329855, 315.9398699, 2.0294667, 2186.3881049, 2787.6650413,-26.3211453
3.04419999999999, 3721.8827528, 316.3917935, 2.0315333, 2186.6933470, 2786.3998930,-26.4104109
3.04729999999999, 3720.8321367, 316.8437799, 2.0336000, 2186.9969516, 2785.1361245,-26.4992075
3.05039999999999, 3719.7811415, 317.2958289, 2.0356667, 2187.2989220, 2783.8737361,-26.5875358
3.05349999999999, 3718.7297716, 317.7479400, 2.0377333, 2187.5992612, 2782.6127285,-26.6753965
3.05659999999999, 3717.6780315, 318.2001129, 2.0398000, 2187.8979726, 2781.3531021,-26.7627903
3.05969999999999, 3716.6259255, 318.6523474, 2.0418667, 2188.1950591, 2780.0948576,-26.8497179
3.06279999999999, 3715.5734580, 319.1046430, 2.0439333, 2188.4905240, 2778.8379953,-26.9361800
3.06589999999999, 3714.5206334, 319.5569994, 2.0460000, 2188.7843704, 2777.5825157,-27.0221774
3.06899999999999, 3713.4674561, 320.0094163, 2.0480667, 2189.0766016, 2776.3284194,-27.1077107
3.07209999999999, 3712.4139304, 320.4618933, 2.0501333, 2189.3672205, 2775.0757067,-27.1927807
3.07519999999999, 3711.3600607, 320.9144302, 2.0522000, 2189.6562304, 2773.8243782,-27.2773881
3.07829999999999, 3710.3058513, 321.3670266, 2.0542667, 2189.9436344, 2772.5744342,-27.3615336
3.08139999999999, 3709.2513066, 321.8196821, 2.0563333, 2190.2294356, 2771.3258752,-27.4452179
3.08449999999999, 3708.1964307, 322.2723964, 2.0584000, 2190.5136373, 2770.0787014,-27.5284418
3.08759999999999, 3707.1412282, 322.7251693, 2.0604667, 2190.7962424, 2768.8329134,-27.6112059
3.09069999999999, 3706.0857033, 323.1780003, 2.0625333, 2191.0772542, 2767.5885115,-27.6935111
3.09379999999999, 3705.0298602, 323.6308892, 2.0646000, 2191.3566758, 2766.3454961,-27.7753580
3.09689999999999, 3703.9737032, 324.0838355, 2.0666667, 2191.6345103, 2765.1038674,-27.8567473
3.09999999999999, 3702.9172367, 324.5368391, 2.0687333, 2191.9107608, 2763.8636258,-27.9376798
3.10309999999999, 3701.8604649, 324.9898995, 2.0708000, 2192.1854304, 2762.6247716,-28.0181563
3.10619999999999, 3700.8033921, 325.4430164, 2.0728667, 2192.4585224, 2761.3873051,-28.0981774
3.10929999999999, 3699.7460224, 325.8961895, 2.0749333, 2192.7300397, 2760.1512266,-28.1777439
3.11239999999999, 3698.6883602, 326.3494185, 2.0770000, 2192.9999855, 2758.9165364,-28.2568566
3.11549999999999, 3697.6304096, 326.8027031, 2.0790667, 2193.2683629, 2757.6832347,-28.3355161
3.11859999999999, 3696.5721749, 327.2560429, 2.0811333, 2193.5351751, 2756.4513218,-28.4137232
3.12169999999999, 3695.5136602, 327.7094376, 2.0832000, 2193.8004250, 2755.2207978,-28.4914786
3.12479999999999, 3694.4548699, 328.1628869, 2.0852667, 2194.0641159, 2753.9916631,-28.5687831
3.12789999999999, 3693.3958080, 328.6163905, 2.0873333, 2194.3262509, 2752.7639178,-28.6456374
3.13099999999999, 3692.3364787, 329.0699480, 2.0894000, 2194.5868329, 2751.5375621,-28.7220423
3.13409999999999, 3691.2768863, 329.5235591, 2.0914667, 2194.8458651, 2750.3125962,-28.7979985
3.13719999999999, 3690.2170349, 329.9772235, 2.0935333, 2195.1033507, 2749.0890203,-28.8735068
3.14029999999999, 3689.1569285, 330.4309409, 2.0956000, 2195.3592927, 2747.8668345,-28.9485678
3.14339999999999, 3688.0965714, 330.8847110, 2.0976667, 2195.6136941, 2746.6460389,-29.0231824
3.14649999999999, 3687.0359677, 331.3385334, 2.0997333, 2195.8665581, 2745.4266338,-29.0973513
3.14959999999999, 3685.9751215, 331.7924078, 2.1018000, 2196.1178877, 2744.2086191,-29.1710752
3.15269999999999, 3684.9140370, 332.2463340, 2.1038667, 2196.3676861, 2742.9919950,-29.2443549
3.15579999999999, 3683.8527181, 332.7003115, 2.1059333, 2196.6159563, 2741.7767616,-29.3171911
3.15889999999999, 3682.7911690, 333.1543402, 2.1080000, 2196.8627013, 2740.5629190,-29.3895846
3.16199999999999, 3681.7293938, 333.6084196, 2.1100667, 2197.1079243, 2739.3504673,-29.4615362
3.16509999999999, 3680.6673966, 334.0625494, 2.1121333, 2197.3516282, 2738.1394065,-29.5330466
3.16819999999999, 3679.6051813, 334.5167294, 2.1142000, 2197.5938162, 2736.9297366,-29.6041165
3.17129999999999, 3678.5427521, 334.9709592, 2.1162667, 2197.8344914, 2735.7214577,-29.6747467
3.17439999999999, 3677.4801130, 335.4252386, 2.1183333, 2198.0736567, 2734.5145697,-29.7449379
3.17749999999999, 3676.4172680, 335.8795671, 2.1204000, 2198.3113153, 2733.3090729,-29.8146910
3.18059999999999, 3675.3542211, 336.3339445, 2.1224667, 2198.5474701, 2732.1049670,-29.8840067
3.18369999999999, 3674.2909764, 336.7883705, 2.1245333, 2198.7821243, 2730.9022521,-29.9528856
3.18679999999999, 3673.2275378, 337.2428448, 2.1266000, 2199.0152808, 2729.7009282,-30.0213287
3.18989999999999, 3672.1639093, 337.6973670, 2.1286667, 2199.2469428, 2728.5009952,-30.0893366
3.19299999999998, 3671.1000949, 338.1519369, 2.1307333, 2199.4771132, 2727.3024532,-30.1569101
3.19609999999998, 3670.0360986, 338.6065541, 2.1328000, 2199.7057951, 2726.1053019,-30.2240500
3.19919999999998, 3668.9719242, 339.0612184, 2.1348667, 2199.9329915, 2724.9095414,-30.2907570
3.20229999999998, 3667.9075759, 339.5159294, 2.1369333, 2200.1587055, 2723.7151717,-30.3570319
3.20539999999998, 3666.8430574, 339.9706868, 2.1390000, 2200.3829400, 2722.5221925,-30.4228755
3.20849999999998, 3665.7783728, 340.4254903, 2.1410667, 2200.6056982, 2721.3306038,-30.4882885
3.21159999999998, 3664.7135258, 340.8803397, 2.1431333, 2200.8269829, 2720.1404055,-30.5532716
3.21469999999998, 3663.6485205, 341.3352346, 2.1452000, 2201.0467973, 2718.9515974,-30.6178257
3.21779999999998, 3662.5833608, 341.7901747, 2.1472667, 2201.2651444, 2717.7641795,-30.6819515
3.22089999999998, 3661.5180504, 342.2451596, 2.1493333, 2201.4820271, 2716.5781516,-30.7456498
3.22399999999998, 3660.4525933, 342.7001892, 2.1514000, 2201.6974485, 2715.3935135,-30.8089213
3.22709999999998, 3659.3869933, 343.1552631, 2.1534667, 2201.9114116, 2714.2102650,-30.8717669
3.23019999999998, 3658.3212543, 343.6103810, 2.1555333, 2202.1239193, 2713.0284061,-30.9341872
3.23329999999998, 3657.2553802, 344.0655426, 2.1576000, 2202.3349747, 2711.8479364,-30.9961830
3.23639999999998, 3656.1893747, 344.5207476, 2.1596667, 2202.5445808, 2710.6688559,-31.0577551
3.23949999999998, 3655.1232416, 344.9759957, 2.1617333, 2202.7527405, 2709.4911643,-31.1189044
3.24259999999998, 3654.0569848, 345.4312865, 2.1638000, 2202.9594569, 2708.3148614,-31.1796314
3.24569999999998, 3652.9906081, 345.8866199, 2.1658667, 2203.1647329, 2707.1399470,-31.2399371
3.24879999999998, 3651.9241153, 346.3419955, 2.1679333, 2203.3685716, 2705.9664208,-31.2998222
3.25189999999998, 3650.8575101, 346.7974131, 2.1700000, 2203.5709758, 2704.7942826,-31.3592874
3.25499999999998, 3649.7907962, 347.2528722, 2.1720667, 2203.7719486, 2703.6235322,-31.4183336
3.25809999999998, 3648.7239775, 347.7083726, 2.1741333, 2203.9714929, 2702.4541692,-31.4769614
3.26119999999998, 3647.6570578, 348.1639141, 2.1762000, 2204.1696117, 2701.2861935,-31.5351718
3.26429999999998, 3646.5900406, 348.6194963, 2.1782667, 2204.3663080, 2700.1196047,-31.5929653
3.26739999999998, 3645.5229298, 349.0751189, 2.1803333, 2204.5615848, 2698.9544025,-31.6503429
3.27049999999998, 3644.4557290, 349.5307817, 2.1824000, 2204.7554449, 2697.7905867,-31.7073052
3.27359999999998, 3643.3884420, 349.9864844, 2.1844667, 2204.9478914, 2696.6281569,-31.7638531
3.27669999999998, 3642.3210724, 350.4422265, 2.1865333, 2205.1389272, 2695.4671128,-31.8199873
3.27979999999998, 3641.2536239, 350.8980080, 2.1886000, 2205.3285553, 2694.3074542,-31.8757087
3.28289999999998, 3640.1861003, 351.3538284, 2.1906667, 2205.5167785, 2693.1491806,-31.9310179
3.28599999999998, 3639.1185050, 351.8096876, 2.1927333, 2205.7035999, 2691.9922917,-31.9859157
3.28909999999998, 3638.0508419, 352.2655851, 2.1948000, 2205.8890224, 2690.8367871,-32.0404030
3.29219999999998, 3636.9831145, 352.7215207, 2.1968667, 2206.0730489, 2689.6826666,-32.0944804
3.29529999999998, 3635.9153264, 353.1774942, 2.1989333, 2206.2556823, 2688.5299297,-32.1481488
3.29839999999998, 3634.8474813, 353.6335052, 2.2010000, 2206.4369256, 2687.3785761,-32.2014090
3.30149999999998, 3633.7795827, 354.0895534, 2.2030667, 2206.6167817, 2686.2286053,-32.2542617
3.30459999999998, 3632.7116343, 354.5456386, 2.2051333, 2206.7952535, 2685.0800170,-32.3067077
3.30769999999998, 3631.6436396, 355.0017605, 2.2072000, 2206.9723440, 2683.9328108,-32.3587477
3.31079999999998, 3630.5756023, 355.4579188, 2.2092667, 2207.1480561, 2682.7869863,-32.4103826
3.31389999999998, 3629.5075258, 355.9141131, 2.2113333, 2207.3223926, 2681.6425429,-32.4616130
3.31699999999998, 3628.4394137, 356.3703433, 2.2134000, 2207.4953565, 2680.4994804,-32.5124399
3.32009999999998, 3627.3712696, 356.8266090, 2.2154667, 2207.6669506, 2679.3577983,-32.5628639
3.32319999999998, 3626.3030969, 357.2829100, 2.2175333, 2207.8371780, 2678.2174961,-32.6128859
3.32629999999998, 3625.2348992, 357.7392460, 2.2196000, 2208.0060414, 2677.0785734,-32.6625066
3.32939999999998, 3624.1666800, 358.1956167, 2.2216667, 2208.1735439, 2675.9410297,-32.7117268
3.33249999999998, 3623.0984428, 358.6520217, 2.2237333, 2208.3396882, 2674.8048646,-32.7605472
3.33559999999998, 3622.0301911, 359.1084609, 2.2258000, 2208.5044772, 2673.6700776,-32.8089687
3.33869999999998, 3620.9619283, 359.5649340, 2.2278667, 2208.6679139, 2672.5366682,-32.8569920
3.34179999999998, 3619.8936579, 360.0214406, 2.2299333, 2208.8300011, 2671.4046359,-32.9046179
3.34489999999998, 3618.8253834, 360.4779805, 2.2320000, 2208.9907418, 2670.2739802,-32.9518471
3.34799999999998, 3617.7571081, 360.9345534, 2.2340667, 2209.1501387, 2669.1447006,-32.9986805
3.35109999999998, 3616.6888356, 361.3911591, 2.2361333, 2209.3081947, 2668.0167966,-33.0451188
3.35419999999998, 3615.6205692, 361.8477972, 2.2382000, 2209.4649128, 2666.8902677,-33.0911628
3.35729999999998, 3614.5523124, 362.3044676, 2.2402667, 2209.6202957, 2665.7651134,-33.1368133
3.36039999999998, 3613.4840684, 362.7611698, 2.2423333, 2209.7743464, 2664.6413331,-33.1820710
3.36349999999998, 3612.4158409, 363.2179037, 2.2444000, 2209.9270677, 2663.5189262,-33.2269367
3.36659999999998, 3611.3476330, 363.6746689, 2.2464667, 2210.0784624, 2662.3978924,-33.2714112
3.36969999999998, 3610.2794482, 364.1314652, 2.2485333, 2210.2285334, 2661.2782309,-33.3154953
3.37279999999998, 3609.2112897, 364.5882923, 2.2506000, 2210.3772836, 2660.1599412,-33.3591897
3.37589999999998, 3608.1431611, 365.0451500, 2.2526667, 2210.5247158, 2659.0430228,-33.4024953
3.37899999999998, 3607.0750655, 365.5020379, 2.2547333, 2210.6708327, 2657.9274750,-33.4454127
3.38209999999998, 3606.0070063, 365.9589559, 2.2568000, 2210.8156374, 2656.8132974,-33.4879428
3.38519999999998, 3604.9389869, 366.4159036, 2.2588667, 2210.9591325, 2655.7004893,-33.5300864
3.38829999999998, 3603.8710104, 366.8728807, 2.2609333, 2211.1013210, 2654.5890500,-33.5718441
3.39139999999998, 3602.8030803, 367.3298870, 2.2630000, 2211.2422056, 2653.4789792,-33.6132169
3.39449999999998, 3601.7351997, 367.7869222, 2.2650667, 2211.3817892, 2652.3702760,-33.6542054
3.39759999999998, 3600.6673720, 368.2439861, 2.2671333, 2211.5200745, 2651.2629399,-33.6948105
3.40069999999998, 3599.5996003, 368.7010784, 2.2692000, 2211.6570645, 2650.1569703,-33.7350328
3.40379999999998, 3598.5318880, 369.1581987, 2.2712667, 2211.7927618, 2649.0523666,-33.7748733
3.40689999999998, 3597.4642383, 369.6153470, 2.2733333, 2211.9271694, 2647.9491280,-33.8143326
3.40999999999998, 3596.3966543, 370.0725228, 2.2754000, 2212.0602900, 2646.8472541,-33.8534116
3.41309999999998, 3595.3291394, 370.5297259, 2.2774667, 2212.1921265, 2645.7467441,-33.8921109
3.41619999999998, 3594.2616966, 370.9869561, 2.2795333, 2212.3226815, 2644.6475974,-33.9304315
3.41929999999998, 3593.1943293, 371.4442130, 2.2816000, 2212.4519580, 2643.5498133,-33.9683739
3.42239999999998, 3592.1270405, 371.9014965, 2.2836667, 2212.5799587, 2642.4533912,-34.0059392
3.42549999999998, 3591.0598335, 372.3588063, 2.2857333, 2212.7066863, 2641.3583304,-34.0431279
3.42859999999998, 3589.9927113, 372.8161420, 2.2878000, 2212.8321437, 2640.2646302,-34.0799408
3.43169999999998, 3588.9256772, 373.2735035, 2.2898667, 2212.9563337, 2639.1722899,-34.1163789
3.43479999999998, 3587.8587343, 373.7308904, 2.2919333, 2213.0792590, 2638.0813090,-34.1524427
3.43789999999998, 3586.7918857, 374.1883026, 2.2940000, 2213.2009223, 2636.9916866,-34.1881331
3.44099999999998, 3585.7251345, 374.6457397, 2.2960667, 2213.3213266, 2635.9034221,-34.2234509
3.44409999999998, 3584.6584838, 375.1032015, 2.2981333, 2213.4404744, 2634.8165147,-34.2583968
3.44719999999998, 3583.5919368, 375.5606878, 2.3002000, 2213.5583687, 2633.7309638,-34.2929716
3.45029999999998, 3582.5254964, 376.0181982, 2.3022667, 2213.6750120, 2632.6467687,-34.3271760
3.45339999999997, 3581.4591658, 376.4757325, 2.3043333, 2213.7904073, 2631.5639286,-34.3610109
3.45649999999997, 3580.3929480, 376.9332905, 2.3064000, 2213.9045572, 2630.4824429,-34.3944770
3.45959999999997, 3579.3268461, 377.3908719, 2.3084667, 2214.0174645, 2629.4023107,-34.4275751
3.46269999999997, 3578.2608632, 377.8484764, 2.3105333, 2214.1291320, 2628.3235314,-34.4603059
3.46579999999997, 3577.1950021, 378.3061039, 2.3126000, 2214.2395623, 2627.2461041,-34.4926703
3.46889999999997, 3576.1292661, 378.7637539, 2.3146667, 2214.3487582, 2626.1700283,-34.5246689
3.47199999999997, 3575.0636580, 379.2214264, 2.3167333, 2214.4567224, 2625.0953031,-34.5563025
3.47509999999997, 3573.9981809, 379.6791209, 2.3188000, 2214.5634577, 2624.0219277,-34.5875720
3.47819999999997, 3572.9328377, 380.1368374, 2.3208667, 2214.6689668, 2622.9499015,-34.6184781
3.48129999999997, 3571.8676315, 380.5945754, 2.3229333, 2214.7732525, 2621.8792236,-34.6490215
3.48439999999997, 3570.8025651, 381.0523348, 2.3250000, 2214.8763173, 2620.8098933,-34.6792030
3.48749999999997, 3569.7376417, 381.5101154, 2.3270667, 2214.9781640, 2619.7419097,-34.7090234
3.49059999999997, 3568.6728640, 381.9679168, 2.3291333, 2215.0787955, 2618.6752723,-34.7384835
3.49369999999997, 3567.6082350, 382.4257388, 2.3312000, 2215.1782142, 2617.6099800,-34.7675839
3.49679999999997, 3566.5437577, 382.8835812, 2.3332667, 2215.2764230, 2616.5460322,-34.7963256
3.49989999999997, 3565.4794349, 383.3414436, 2.3353333, 2215.3734246, 2615.4834281,-34.8247092
3.50299999999997, 3564.4152696, 383.7993260, 2.3374000, 2215.4692216, 2614.4221669,-34.8527355
3.50609999999997, 3563.3512647, 384.2572279, 2.3394667, 2215.5638168, 2613.3622477,-34.8804053
3.50919999999997, 3562.2874230, 384.7151493, 2.3415333, 2215.6572128, 2612.3036698,-34.9077193
3.51229999999997, 3561.2237474, 385.1730897, 2.3436000, 2215.7494123, 2611.2464323,-34.9346783
3.51539999999997, 3560.1602408, 385.6310490, 2.3456667, 2215.8404179, 2610.1905345,-34.9612831
3.51849999999997, 3559.0969060, 386.0890270, 2.3477333, 2215.9302325, 2609.1359755,-34.9875344
3.52159999999997, 3558.0337458, 386.5470233, 2.3498000, 2216.0188586, 2608.0827545,-35.0134329
3.52469999999997, 3556.9707631, 387.0050378, 2.3518667, 2216.1062988, 2607.0308707,-35.0389796
3.52779999999997, 3555.9079608, 387.4630701, 2.3539333, 2216.1925560, 2605.9803232,-35.0641750
3.53089999999997, 3554.8453415, 387.9211201, 2.3560000, 2216.2776327, 2604.9311113,-35.0890200
3.53399999999997, 3553.7829081, 388.3791875, 2.3580667, 2216.3615316, 2603.8832340,-35.1135153
3.53709999999997, 3552.7206635, 388.8372721, 2.3601333, 2216.4442553, 2602.8366905,-35.1376617
3.54019999999997, 3551.6586103, 389.2953735, 2.3622000, 2216.5258065, 2601.7914801,-35.1614600
3.54329999999997, 3550.5967513, 389.7534917, 2.3642667, 2216.6061879, 2600.7476017,-35.1849108
3.54639999999997, 3549.5350893, 390.2116263, 2.3663333, 2216.6854021, 2599.7050547,-35.2080151
3.54949999999997, 3548.4736271, 390.6697770, 2.3684000, 2216.7634516, 2598.6638381,-35.2307734
3.55259999999997, 3547.4123673, 391.1279438, 2.3704667, 2216.8403393, 2597.6239510,-35.2531866
3.55569999999997, 3546.3513127, 391.5861262, 2.3725333, 2216.9160676, 2596.5853926,-35.2752555
3.55879999999997, 3545.2904661, 392.0443241, 2.3746000, 2216.9906393, 2595.5481621,-35.2969807
3.56189999999997, 3544.2298300, 392.5025372, 2.3766667, 2217.0640569, 2594.5122585,-35.3183631
3.56499999999997, 3543.1694073, 392.9607654, 2.3787333, 2217.1363231, 2593.4776809,-35.3394034
3.56809999999997, 3542.1092006, 393.4190083, 2.3808000, 2217.2074404, 2592.4444286,-35.3601023
3.57119999999997, 3541.0492125, 393.8772657, 2.3828667, 2217.2774116, 2591.4125006,-35.3804606
3.57429999999997, 3539.9894458, 394.3355374, 2.3849333, 2217.3462391, 2590.3818960,-35.4004791
3.57739999999997, 3538.9299030, 394.7938232, 2.3870000, 2217.4139257, 2589.3526140,-35.4201586
3.58049999999997, 3537.8705869, 395.2521227, 2.3890667, 2217.4804739, 2588.3246536,-35.4394996
3.58359999999997, 3536.8115001, 395.7104359, 2.3911333, 2217.5458863, 2587.2980139,-35.4585031
3.58669999999997, 3535.7526451, 396.1687624, 2.3932000, 2217.6101655, 2586.2726941,-35.4771698
3.58979999999997, 3534.6940247, 396.6271020, 2.3952667, 2217.6733141, 2585.2486932,-35.4955004
3.59289999999997, 3533.6356413, 397.0854545, 2.3973333, 2217.7353347, 2584.2260104,-35.5134956
3.59599999999997, 3532.5774977, 397.5438196, 2.3994000, 2217.7962299, 2583.2046447,-35.5311563
3.59909999999997, 3531.5195963, 398.0021971, 2.4014667, 2217.8560022, 2582.1845952,-35.5484832
3.60219999999997, 3530.4619398, 398.4605869, 2.4035333, 2217.9146543, 2581.1658610,-35.5654769
3.60529999999997, 3529.4045307, 398.9189885, 2.4056000, 2217.9721887, 2580.1484411,-35.5821384
3.60839999999997, 3528.3473715, 399.3774019, 2.4076667, 2218.0286079, 2579.1323348,-35.5984682
3.61149999999997, 3527.2904649, 399.8358268, 2.4097333, 2218.0839146, 2578.1175409,-35.6144672
3.61459999999997, 3526.2338133, 400.2942629, 2.4118000, 2218.1381113, 2577.1040587,-35.6301361
3.61769999999997, 3525.1774193, 400.7527101, 2.4138667, 2218.1912005, 2576.0918871,-35.6454756
3.62079999999997, 3524.1212854, 401.2111681, 2.4159333, 2218.2431848, 2575.0810252,-35.6604866
3.62389999999997, 3523.0654141, 401.6696366, 2.4180000, 2218.2940668, 2574.0714722,-35.6751697
3.62699999999997, 3522.0098079, 402.1281155, 2.4200667, 2218.3438490, 2573.0632270,-35.6895257
3.63009999999997, 3520.9544692, 402.5866045, 2.4221333, 2218.3925340, 2572.0562887,-35.7035553
3.63319999999997, 3519.8994006, 403.0451034, 2.4242000, 2218.4401243, 2571.0506564,-35.7172592
3.63629999999997, 3518.8446044, 403.5036120, 2.4262667, 2218.4866224, 2570.0463291,-35.7306383
3.63939999999997, 3517.7900833, 403.9621300, 2.4283333, 2218.5320308, 2569.0433059,-35.7436933
3.64249999999997, 3516.7358395, 404.4206572, 2.4304000, 2218.5763521, 2568.0415858,-35.7564248
