time,C,D,E,I,S,T
0.2046, 1204.7550739, 1.2921685, 0.1384667, 318.2824496, 8041.2809789, 31.0716766
0.2077, 1233.2184425, 1.3591696, 0.1405333, 326.1642890, 8005.2538982, 30.7047316
0.2108, 1261.4241734, 1.4277924, 0.1426000, 333.9992646, 7969.3713514, 30.5026130
0.2139, 1289.3739360, 1.4980272, 0.1446667, 341.7876043, 7933.6592237, 30.4363741
0.217, 1317.0694892, 1.5698644, 0.1467333, 349.5295589, 7898.1387708, 30.4817800
0.2201, 1344.5126641, 1.6432944, 0.1488000, 357.2253979, 7862.8273939, 30.6185209
0.2232, 1371.7053489, 1.7183078, 0.1508667, 364.8754055, 7827.7392801, 30.8295623
0.2263, 1398.6494770, 1.7948951, 0.1529333, 372.4798784, 7792.8859340, 31.1006066
0.2294, 1425.3470164, 1.8730470, 0.1550000, 380.0391229, 7758.2766185, 31.4196457
0.2325, 1451.7999614, 1.9527541, 0.1570667, 387.5534529, 7723.9187218, 31.7765895
0.2356, 1478.0103253, 2.0340073, 0.1591333, 395.0231885, 7689.8180623, 32.1629571
0.2387, 1503.9801345, 2.1167974, 0.1612000, 402.4486542, 7655.9791435, 32.5716190
0.2418, 1529.7114234, 2.2011153, 0.1632667, 409.8301779, 7622.4053662, 32.9965818
0.2449, 1555.2062304, 2.2869519, 0.1653333, 417.1680899, 7589.0992063, 33.4328089
0.248, 1580.4665943, 2.3742983, 0.1674000, 424.4627221, 7556.0623631, 33.8760701
0.2511, 1605.4945512, 2.4631456, 0.1694667, 431.7144070, 7523.2958841, 34.3228156
0.2542, 1630.2921325, 2.5534849, 0.1715333, 438.9234776, 7490.8002690, 34.7700704
0.2573, 1654.8613624, 2.6453076, 0.1736000, 446.0902665, 7458.5755577, 35.2153461
0.2604, 1679.2042565, 2.7386049, 0.1756667, 453.2151055, 7426.6214037, 35.6565660
0.2635, 1703.3228202, 2.8333682, 0.1777333, 460.2983257, 7394.9371360, 36.0920023
0.2666, 1727.2190477, 2.9295889, 0.1798000, 467.3402565, 7363.5218115, 36.5202241
0.2697, 1750.8949207, 3.0272587, 0.1818667, 474.3412261, 7332.3742590, 36.9400518
0.2728, 1774.3524080, 3.1263689, 0.1839333, 481.3015607, 7301.4931159, 37.3505204
0.2759, 1797.5934645, 3.2269115, 0.1860000, 488.2215845, 7270.8768603, 37.7508474
0.279, 1820.6200309, 3.3288779, 0.1880667, 495.1016198, 7240.5238367, 38.1404058
0.2821, 1843.4340331, 3.4322600, 0.1901333, 501.9419867, 7210.4322791, 38.5187013
0.2852, 1866.0373818, 3.5370498, 0.1922000, 508.7430029, 7180.6003299, 38.8853533
0.2883, 1888.4319725, 3.6432390, 0.1942667, 515.5049838, 7151.0260560, 39.2400779
0.2914, 1910.6196850, 3.7508197, 0.1963333, 522.2282423, 7121.7074625, 39.5826744
0.2945, 1932.6023833, 3.8597838, 0.1984000, 528.9130888, 7092.6425046, 39.9130131
0.2976, 1954.3819154, 3.9701236, 0.2004667, 535.5598313, 7063.8290973, 40.2310249
0.3007, 1975.9601136, 4.0818313, 0.2025333, 542.1687751, 7035.2651244, 40.5366930
0.3038, 1997.3387940, 4.1948989, 0.2046000, 548.7402230, 7006.9484453, 40.8300451
0.3069, 2018.5197565, 4.3093188, 0.2066667, 555.2744752, 6978.8769014, 41.1111469
0.31, 2039.5047852, 4.4250835, 0.2087333, 561.7718292, 6951.0483217, 41.3800969
0.3131, 2060.2956481, 4.5421852, 0.2108000, 568.2325800, 6923.4605271, 41.6370212
0.3162, 2080.8940971, 4.6606166, 0.2128667, 574.6570198, 6896.1113344, 41.8820695
0.3193, 2101.3018683, 4.7803700, 0.2149333, 581.0454385, 6868.9985598, 42.1154116
0.3224, 2121.5206819, 4.9014382, 0.2170000, 587.3981231, 6842.1200219, 42.3372340
0.3255, 2141.5522422, 5.0238138, 0.2190667, 593.7153580, 6815.4735441, 42.5477377
0.3286, 2161.3982379, 5.1474895, 0.2211333, 599.9974253, 6789.0569568, 42.7471350
0.3317, 2181.0603422, 5.2724580, 0.2232000, 606.2446041, 6762.8680995, 42.9356482
0.3348, 2200.5402125, 5.3987123, 0.2252667, 612.4571712, 6736.9048222, 43.1135074
0.3379, 2219.8394910, 5.5262452, 0.2273333, 618.6354009, 6711.1649871, 43.2809489
0.341, 2238.9598047, 5.6550496, 0.2294000, 624.7795647, 6685.6464693, 43.4382137
0.3441, 2257.9027652, 5.7851186, 0.2314667, 630.8899318, 6660.3471586, 43.5855465
0.3472, 2276.6699691, 5.9164452, 0.2335333, 636.9667689, 6635.2649599, 43.7231946
0.3503, 2295.2629983, 6.0490224, 0.2356000, 643.0103400, 6610.3977941, 43.8514065
0.353399999999999, 2313.6834197, 6.1828436, 0.2376667, 649.0209068, 6585.7435990, 43.9704316
0.356499999999999, 2331.9327856, 6.3179019, 0.2397333, 654.9987286, 6561.3003294, 44.0805190
0.359599999999999, 2350.0126337, 6.4541905, 0.2418000, 660.9440623, 6537.0659582, 44.1819171
