,C,D,I,S,T
0.69, 3478.1933752, 0.0146109, 1.1922707, 24906.9473208, 371529.8765387
0.7, 4010.1066810, 0.0169072, 1.3741005, 28489.6872371, 367390.4248638
0.71, 4617.8876907, 0.0195514, 1.5817100, 32513.5511911, 362727.3123700
0.72, 5310.6835360, 0.0225921, 1.8181616, 37011.1023934, 357497.3164976
0.73, 6098.2588565, 0.0260834, 2.0867108, 42011.0948703, 351660.1920897
0.74, 6990.9000709, 0.0300854, 2.3907712, 47536.4985384, 345180.7654572
0.75, 7999.2775584, 0.0346642, 2.7338636, 53602.3167859, 338031.3034026
0.76, 9134.2625732, 0.0398920, 3.1195516, 60213.3126448, 330194.0488777
0.77, 10406.6985796, 0.0458474, 3.5513617, 67361.8098247, 321663.7591431
0.78, 11827.1305405, 0.0526147, 4.0326903, 75025.7790067, 312450.0299166
0.79, 13405.5003093, 0.0602839, 4.5667003, 83167.4469819, 302579.1514695
0.8, 15150.8211864, 0.0689501, 5.1562135, 91732.6650001, 292095.2327885
0.81, 17070.8492228, 0.0787128, 5.8036023, 100651.2340992, 281060.3588306
0.820000000000001, 19171.7721674, 0.0896749, 6.5106910, 109838.3063143, 269553.6189432
0.830000000000001, 21457.9382588, 0.1019414, 7.2786707, 119196.8676240, 257668.9577551
0.840000000000001, 23931.6458060, 0.1156189, 8.1080373, 128621.1771270, 245511.9384893
0.850000000000001, 26593.0105363, 0.1308135, 8.9985557, 138000.9104612, 233195.6488660
0.860000000000001, 29439.9213939, 0.1476304, 9.9492538, 147225.6590392, 220836.0940588
0.870000000000001, 32468.0877241, 0.1661717, 10.9584465, 156189.3904168, 208547.4858306
0.880000000000001, 35671.1727355, 0.1865359, 12.0237874, 164794.4883097, 196437.8390973
0.890000000000001, 39041.0010213, 0.2088169, 13.1423435, 172955.0591088, 184605.2283145
0.900000000000001, 42567.8227026, 0.2331023, 14.3106870, 180599.2990676, 173134.9513464
0.910000000000001, 46240.6139767, 0.2594737, 15.5249970, 187670.8397716, 162097.7213619
0.920000000000001, 50047.3935620, 0.2880055, 16.7811655, 194129.1060474, 151548.8826988
0.930000000000001, 53975.5363551, 0.3187646, 18.0749007, 199948.8125086, 141528.5445188
0.940000000000001, 58012.0689263, 0.3518105, 19.4018225, 205118.7831941, 132062.4578803
0.950000000000001, 62143.9355532, 0.3871950, 20.7575489, 209640.3023249, 123163.4299414
0.960000000000001, 66358.2276853, 0.4249624, 22.1377687, 213525.1985241, 114833.0686804
0.970000000000001, 70642.3735428, 0.4651497, 23.5383014, 216793.8386933, 107063.6740398
0.980000000000001, 74984.2876912, 0.5077867, 24.9551434, 219473.1704845, 99840.1270362
0.990000000000001, 79372.4827639, 0.5528969, 26.3845024, 221594.9119959, 93141.6685486
1, 83796.1470524, 0.6004971, 27.8228206, 223193.9497073, 86943.4978935
1.01, 88245.1925328, 0.6505986, 29.2667879, 224306.9741267, 81218.1540869
1.02, 92710.2782038, 0.7032071, 30.7133481, 224971.3584776, 75936.6682327
1.03, 97182.8135124, 0.7583234, 32.1596983, 225224.2689341, 71069.4936346
1.04, 101654.9462851, 0.8159437, 33.6032835, 225101.9844664, 66587.2318450
1.05, 106119.5390749, 0.8760601, 35.0417875, 224639.3989845, 62461.1792104
1.06, 110570.1372601, 0.9386612, 36.4731220, 223869.6768127, 58663.7208988
1.07, 115000.9316578, 1.0037319, 37.8954132, 222824.0333745, 55168.5991433
1.08, 119406.7178743, 1.0712544, 39.3069878, 221531.6153325, 51951.0805150
1.09, 123782.8541333, 1.1412082, 40.7063588, 220019.4575782, 48988.0442207
1.1, 128125.2189057, 1.2135702, 42.0922111, 218312.4978771, 46258.0102512
1.11, 132430.1693184, 1.2883156, 43.4633876, 216433.6333079, 43741.1230428
1.12, 136694.5010350, 1.3654175, 44.8188757, 214403.8057079, 41419.1033671
1.13, 140915.4100755, 1.4448477, 46.1577946, 212242.1060277, 39275.1785553
1.14, 145090.4568661, 1.5265762, 47.4793834, 209965.8898005, 37293.9989225
1.15, 149217.5326738, 1.6105723, 48.7829898, 207590.8978334, 35461.5463920
1.16, 153294.8284817, 1.6968041, 50.0680599, 205131.3777763, 33765.0397961
1.17, 157320.8062863, 1.7852387, 51.3341287, 202600.2034556, 32192.8401144
1.18, 161294.1727478, 1.8758427, 52.5808112, 200008.9898241, 30734.3579499
1.19, 165213.8550870, 1.9685820, 53.8077948, 197368.2021198, 29379.9648037
1.2, 169078.9791063, 2.0634223, 55.0148316, 194687.2583917, 28120.9091454
1.21, 172888.8491919, 2.1603287, 56.2017322, 191974.6249622, 26949.2378530
1.22, 176642.9301576, 2.2592660, 57.3683593, 189237.9047062, 25857.7232845
1.23, 180340.8307839, 2.3601991, 58.5146228, 186483.9182362, 24839.7960228
1.24, 183982.2889140, 2.4630925, 59.6404743, 183718.7782355, 23889.4831771
1.25, 187567.1579719, 2.5679108, 60.7459031, 180947.9572733, 23001.3520207
1.26, 191095.3947762, 2.6746186, 61.8309321, 178176.3494974, 22170.4586768
1.27, 194567.0485308, 2.7831808, 62.8956139, 175408.3266279, 21392.3015287
1.28, 197982.2508838, 2.8935620, 63.9400278, 172647.7886855, 20662.7790073
1.29, 201341.2069518, 3.0057273, 64.9642769, 169898.2098840, 19978.1514125
1.3, 204644.1872186, 3.1196419, 65.9684851, 167162.6801024, 19335.0064259
1.31, 207891.5202233, 3.2352712, 66.9527952, 164443.9423315, 18730.2279903
1.32, 211083.5859605, 3.3525810, 67.9173661, 161744.4264647, 18160.9682461
1.33, 214220.8099233, 3.4715372, 68.8623715, 159066.2797800, 17624.6222372
1.34, 217303.6577264, 3.5921062, 69.7879974, 156411.3944288, 17118.8051190
1.35, 220332.6302520, 3.7142546, 70.6944412, 153781.4322244, 16641.3316246
1.36, 223308.2592671, 3.8379495, 71.5819101, 151177.8469963, 16190.1975629
1.37, 226231.1034664, 3.9631583, 72.4506192, 148601.9047513, 15763.5631474
1.38, 229101.7448982, 4.0898486, 73.3007913, 146054.7018615, 15359.7379681
1.39, 231920.7857370, 4.2179888, 74.1326550, 143537.1814765, 14977.1674423
1.4, 234688.8453685, 4.3475473, 74.9464442, 141050.1483383, 14614.4205912
1.41, 237406.5577561, 4.4784931, 75.7423972, 138594.2821599, 14270.1790093
1.42, 240074.5690631, 4.6107956, 76.5207555, 136170.1497126, 13943.2269029
1.43, 242693.5355041, 4.7444247, 77.2817640, 133778.2157505, 13632.4420889
1.44, 245264.1214052, 4.8793506, 78.0256692, 131418.8528904, 13336.7878577
1.45, 247786.9974528, 5.0155440, 78.7527197, 129092.3505503, 13055.3056099
1.46, 250262.8391118, 5.1529760, 79.4631649, 126798.9230413, 12787.1081898
1.47, 252692.3251993, 5.2916180, 80.1572551, 124538.7168966, 12531.3738452
1.48, 255076.1365971, 5.4314422, 80.8352406, 122311.8175126, 12287.3407501
1.49, 257414.9550918, 5.5724209, 81.4973716, 120118.2551709, 12054.3020345
1.5, 259709.4623288, 5.7145269, 82.1438980, 117958.0105010, 11831.6012698
1.51, 261960.3388720, 5.8577336, 82.7750687, 115831.0194379, 11618.6283662
1.52, 264168.2633565, 6.0020146, 83.3911315, 113737.1777248, 11414.8158396
1.53, 266333.9117290, 6.1473441, 83.9923332, 111676.3450029, 11219.6354142
1.54, 268457.9565650, 6.2936966, 84.5789187, 109648.3485297, 11032.5949257
1.55, 270541.0664577, 6.4410471, 85.1511314, 107652.9865594, 10853.2354978
1.56, 272583.9054715, 6.5893710, 85.7092127, 105690.0314189, 10681.1289651
1.57, 274587.1326540, 6.7386442, 86.2534020, 103759.2323060, 10515.8755190
1.58, 276551.4016019, 6.8888428, 86.7839364, 101860.3178385, 10357.1015557
1.59, 278477.3600751, 7.0399435, 87.3010509, 99992.9983744, 10204.4577071
1.6, 280365.6496560, 7.1919234, 87.8049779, 98156.9681257, 10057.6170371
1.61, 282216.9054483, 7.3447598, 88.2959473, 96351.9070855, 9916.2733897
1.62, 284031.7558132, 7.4984306, 88.7741863, 94577.4827831, 9780.1398728
1.63, 285810.8221391, 7.6529141, 89.2399198, 92833.3518846, 9648.9474666
1.64, 287554.7186418, 7.8081889, 89.6933696, 91119.1616522, 9522.4437455
1.65, 289264.0521928, 7.9642338, 90.1347549, 89434.5512744, 9400.3917022
1.66, 290939.4221726, 8.1210285, 90.5642920, 87779.1530791, 9282.5686665
1.67, 292581.4203479, 8.2785524, 90.9821943, 86152.5936394, 9168.7653092
1.68, 294190.6307691, 8.4367859, 91.3886726, 84554.4947825, 9058.7847234
1.69, 295767.6296881, 8.5957092, 91.7839343, 82984.4745081, 8952.4415786
1.7, 297312.9854923, 8.7553034, 92.1681844, 81442.1478263, 8849.5613384
1.71, 298827.2586560, 8.9155494, 92.5416246, 79927.1275212, 8749.9795390
1.72, 300311.0017056, 9.0764290, 92.9044538, 78439.0248453, 8653.5411213
1.73, 301764.7591979, 9.2379238, 93.2568680, 76977.4501523, 8560.0998137
1.74, 303189.0677111, 9.4000162, 93.5990601, 75542.0134731, 8469.5175601
1.75, 304584.4558463, 9.5626886, 93.9312202, 74132.3250386, 8381.6639907
