,C,D,I,S,T
22.1100000000007, 196507.6317741, 125.4360764, 3.5260686, 3.5109503, 1568.6917901
22.1200000000007, 196442.2103596, 125.4421803, 3.5199150, 3.5044926, 1568.6280682
22.1300000000007, 196376.8106194, 125.4482735, 3.5137722, 3.4980474, 1568.5644630
22.1400000000007, 196311.4325467, 125.4543560, 3.5076401, 3.4916146, 1568.5009741
22.1500000000007, 196246.0761344, 125.4604280, 3.5015188, 3.4851942, 1568.4376014
22.1600000000007, 196180.7413755, 125.4664893, 3.4954081, 3.4787862, 1568.3743447
22.1700000000007, 196115.4282631, 125.4725401, 3.4893080, 3.4723906, 1568.3112036
22.1800000000007, 196050.1367903, 125.4785803, 3.4832186, 3.4660073, 1568.2481781
22.1900000000007, 195984.8669500, 125.4846100, 3.4771399, 3.4596363, 1568.1852678
22.2000000000007, 195919.6187353, 125.4906292, 3.4710717, 3.4532776, 1568.1224726
22.2100000000007, 195854.3921392, 125.4966378, 3.4650141, 3.4469312, 1568.0597923
22.2200000000007, 195789.1871548, 125.5026360, 3.4589671, 3.4405970, 1567.9972266
22.2300000000007, 195724.0037751, 125.5086237, 3.4529307, 3.4342750, 1567.9347752
22.2400000000007, 195658.8419931, 125.5146009, 3.4469047, 3.4279652, 1567.8724381
22.2500000000007, 195593.7018020, 125.5205677, 3.4408893, 3.4216675, 1567.8102149
22.2600000000007, 195528.5831947, 125.5265241, 3.4348844, 3.4153820, 1567.7481055
22.2700000000007, 195463.4861643, 125.5324701, 3.4288900, 3.4091086, 1567.6861096
22.2800000000007, 195398.4107038, 125.5384058, 3.4229060, 3.4028472, 1567.6242270
22.2900000000007, 195333.3568064, 125.5443310, 3.4169325, 3.3965979, 1567.5624575
22.3000000000007, 195268.3244650, 125.5502460, 3.4109693, 3.3903607, 1567.5008009
22.3100000000007, 195203.3136727, 125.5561506, 3.4050166, 3.3841354, 1567.4392570
22.3200000000007, 195138.3244226, 125.5620449, 3.3990743, 3.3779221, 1567.3778255
22.3300000000007, 195073.3567077, 125.5679289, 3.3931424, 3.3717208, 1567.3165062
22.3400000000007, 195008.4105211, 125.5738027, 3.3872208, 3.3655314, 1567.2552990
22.3500000000007, 194943.4858558, 125.5796662, 3.3813095, 3.3593539, 1567.1942036
22.3600000000007, 194878.5827050, 125.5855194, 3.3754085, 3.3531883, 1567.1332198
22.3700000000007, 194813.7010617, 125.5913625, 3.3695179, 3.3470345, 1567.0723473
22.3800000000007, 194748.8409189, 125.5971953, 3.3636375, 3.3408926, 1567.0115861
22.3900000000007, 194684.0022697, 125.6030180, 3.3577674, 3.3347625, 1566.9509358
22.4000000000007, 194619.1851073, 125.6088305, 3.3519075, 3.3286441, 1566.8903962
22.4100000000007, 194554.3894246, 125.6146329, 3.3460578, 3.3225376, 1566.8299672
22.4200000000007, 194489.6152148, 125.6204251, 3.3402184, 3.3164427, 1566.7696485
22.4300000000007, 194424.8624709, 125.6262073, 3.3343891, 3.3103596, 1566.7094399
22.4400000000007, 194360.1311860, 125.6319793, 3.3285701, 3.3042881, 1566.6493413
22.4500000000007, 194295.4213532, 125.6377413, 3.3227611, 3.2982283, 1566.5893523
22.4600000000007, 194230.7329656, 125.6434932, 3.3169623, 3.2921801, 1566.5294728
22.4700000000007, 194166.0660162, 125.6492351, 3.3111736, 3.2861436, 1566.4697026
22.4800000000007, 194101.4204982, 125.6549669, 3.3053951, 3.2801186, 1566.4100415
22.4900000000007, 194036.7964046, 125.6606888, 3.2996266, 3.2741052, 1566.3504893
22.5000000000007, 193972.1937285, 125.6664006, 3.2938681, 3.2681033, 1566.2910457
22.5100000000007, 193907.6124631, 125.6721025, 3.2881198, 3.2621129, 1566.2317105
22.5200000000007, 193843.0526014, 125.6777945, 3.2823814, 3.2561341, 1566.1724837
22.5300000000007, 193778.5141364, 125.6834765, 3.2766531, 3.2501666, 1566.1133648
22.5400000000007, 193713.9970614, 125.6891486, 3.2709347, 3.2442107, 1566.0543538
22.5500000000007, 193649.5013694, 125.6948108, 3.2652264, 3.2382661, 1565.9954504
22.5600000000007, 193585.0270535, 125.7004631, 3.2595279, 3.2323330, 1565.9366544
22.5700000000007, 193520.5741069, 125.7061056, 3.2538395, 3.2264112, 1565.8779657
22.5800000000007, 193456.1425225, 125.7117382, 3.2481609, 3.2205008, 1565.8193840
22.5900000000007, 193391.7322936, 125.7173609, 3.2424923, 3.2146017, 1565.7609091
22.6000000000007, 193327.3434132, 125.7229739, 3.2368336, 3.2087139, 1565.7025408
22.6100000000007, 193262.9758744, 125.7285771, 3.2311847, 3.2028373, 1565.6442789
22.6200000000007, 193198.6296704, 125.7341705, 3.2255457, 3.1969721, 1565.5861232
22.6300000000007, 193134.3047943, 125.7397541, 3.2199165, 3.1911180, 1565.5280735
22.6400000000007, 193070.0012392, 125.7453280, 3.2142972, 3.1852752, 1565.4701297
22.6500000000007, 193005.7189982, 125.7508921, 3.2086876, 3.1794435, 1565.4122914
22.6600000000007, 192941.4580644, 125.7564466, 3.2030879, 3.1736230, 1565.3545585
22.6700000000007, 192877.2184309, 125.7619913, 3.1974979, 3.1678137, 1565.2969309
22.6800000000007, 192813.0000910, 125.7675264, 3.1919177, 3.1620154, 1565.2394082
22.6900000000007, 192748.8030376, 125.7730518, 3.1863472, 3.1562283, 1565.1819904
22.7000000000007, 192684.6272640, 125.7785676, 3.1807864, 3.1504522, 1565.1246771
22.7100000000008, 192620.4727632, 125.7840737, 3.1752353, 3.1446872, 1565.0674683
22.7200000000008, 192556.3395284, 125.7895703, 3.1696940, 3.1389331, 1565.0103637
22.7300000000008, 192492.2275527, 125.7950572, 3.1641622, 3.1331901, 1564.9533630
22.7400000000008, 192428.1368293, 125.8005346, 3.1586402, 3.1274581, 1564.8964662
22.7500000000008, 192364.0673513, 125.8060024, 3.1531278, 3.1217370, 1564.8396731
22.7600000000008, 192300.0191118, 125.8114607, 3.1476249, 3.1160269, 1564.7829833
22.7700000000008, 192235.9921040, 125.8169094, 3.1421317, 3.1103276, 1564.7263968
22.7800000000008, 192171.9863210, 125.8223486, 3.1366481, 3.1046393, 1564.6699133
22.7900000000008, 192108.0017559, 125.8277784, 3.1311741, 3.0989618, 1564.6135326
22.8000000000008, 192044.0384019, 125.8331987, 3.1257096, 3.0932952, 1564.5572546
22.8100000000008, 191980.0962522, 125.8386095, 3.1202546, 3.0876394, 1564.5010790
22.8200000000008, 191916.1752999, 125.8440108, 3.1148092, 3.0819943, 1564.4450056
22.8300000000008, 191852.2755382, 125.8494028, 3.1093732, 3.0763601, 1564.3890344
22.8400000000008, 191788.3969601, 125.8547853, 3.1039467, 3.0707366, 1564.3331650
22.8500000000008, 191724.5395589, 125.8601584, 3.0985298, 3.0651238, 1564.2773972
22.8600000000008, 191660.7033278, 125.8655222, 3.0931222, 3.0595218, 1564.2217310
22.8700000000008, 191596.8882598, 125.8708766, 3.0877241, 3.0539304, 1564.1661660
22.8800000000008, 191533.0943481, 125.8762216, 3.0823354, 3.0483497, 1564.1107021
22.8900000000008, 191469.3215859, 125.8815573, 3.0769561, 3.0427797, 1564.0553391
22.9000000000008, 191405.5699664, 125.8868837, 3.0715862, 3.0372202, 1564.0000769
22.9100000000008, 191341.8394827, 125.8922009, 3.0662257, 3.0316714, 1563.9449152
22.9200000000008, 191278.1301280, 125.8975087, 3.0608745, 3.0261331, 1563.8898538
22.9300000000008, 191214.4418955, 125.9028073, 3.0555327, 3.0206054, 1563.8348925
22.9400000000008, 191150.7747783, 125.9080966, 3.0502002, 3.0150882, 1563.7800312
22.9500000000008, 191087.1287697, 125.9133767, 3.0448770, 3.0095816, 1563.7252697
22.9600000000008, 191023.5038627, 125.9186476, 3.0395631, 3.0040854, 1563.6706077
22.9700000000008, 190959.9000505, 125.9239092, 3.0342584, 2.9985997, 1563.6160451
22.9800000000008, 190896.3173264, 125.9291617, 3.0289630, 2.9931245, 1563.5615818
22.9900000000008, 190832.7556836, 125.9344051, 3.0236769, 2.9876597, 1563.5072174
23.0000000000008, 190769.2151151, 125.9396392, 3.0183999, 2.9822053, 1563.4529519
23.0100000000008, 190705.6956142, 125.9448643, 3.0131322, 2.9767612, 1563.3987850
23.0200000000008, 190642.1971741, 125.9500802, 3.0078737, 2.9713276, 1563.3447166
23.0300000000008, 190578.7197880, 125.9552870, 3.0026243, 2.9659042, 1563.2907464
23.0400000000008, 190515.2634490, 125.9604848, 2.9973842, 2.9604912, 1563.2368743
23.0500000000008, 190451.8281503, 125.9656734, 2.9921531, 2.9550885, 1563.1831002
23.0600000000008, 190388.4138852, 125.9708531, 2.9869312, 2.9496961, 1563.1294237
23.0700000000008, 190325.0206469, 125.9760236, 2.9817184, 2.9443139, 1563.0758447
23.0800000000008, 190261.6484284, 125.9811852, 2.9765147, 2.9389420, 1563.0223631
23.0900000000008, 190198.2972231, 125.9863377, 2.9713200, 2.9335803, 1562.9689787
23.1000000000008, 190134.9670241, 125.9914813, 2.9661345, 2.9282287, 1562.9156913
23.1100000000008, 190071.6578247, 125.9966158, 2.9609579, 2.9228874, 1562.8625006
23.1200000000008, 190008.3696180, 126.0017414, 2.9557904, 2.9175562, 1562.8094065
23.1300000000008, 189945.1023972, 126.0068581, 2.9506320, 2.9122351, 1562.7564089
23.1400000000008, 189881.8561556, 126.0119658, 2.9454825, 2.9069241, 1562.7035075
23.1500000000008, 189818.6308863, 126.0170647, 2.9403420, 2.9016233, 1562.6507022
23.1600000000008, 189755.4265826, 126.0221546, 2.9352105, 2.8963325, 1562.5979928
23.1700000000008, 189692.2432378, 126.0272356, 2.9300879, 2.8910517, 1562.5453791
23.1800000000008, 189629.0808449, 126.0323078, 2.9249743, 2.8857810, 1562.4928609
23.1900000000008, 189565.9393972, 126.0373711, 2.9198696, 2.8805203, 1562.4404380
23.2000000000008, 189502.8188880, 126.0424256, 2.9147738, 2.8752696, 1562.3881103
23.2100000000008, 189439.7193105, 126.0474713, 2.9096869, 2.8700288, 1562.3358776
23.2200000000008, 189376.6406578, 126.0525081, 2.9046089, 2.8647980, 1562.2837398
23.2300000000008, 189313.5829233, 126.0575362, 2.8995397, 2.8595771, 1562.2316965
23.2400000000008, 189250.5461001, 126.0625555, 2.8944794, 2.8543661, 1562.1797477
23.2500000000008, 189187.5301814, 126.0675660, 2.8894279, 2.8491650, 1562.1278931
23.2600000000008, 189124.5351606, 126.0725678, 2.8843853, 2.8439738, 1562.0761327
23.2700000000008, 189061.5610308, 126.0775608, 2.8793514, 2.8387924, 1562.0244662
23.2800000000008, 188998.6077852, 126.0825452, 2.8743263, 2.8336209, 1561.9728934
23.2900000000008, 188935.6754172, 126.0875208, 2.8693100, 2.8284591, 1561.9214141
23.3000000000008, 188872.7639199, 126.0924878, 2.8643024, 2.8233072, 1561.8700283
23.3100000000008, 188809.8732865, 126.0974461, 2.8593036, 2.8181650, 1561.8187357
23.3200000000008, 188747.0035104, 126.1023957, 2.8543135, 2.8130325, 1561.7675361
23.3300000000008, 188684.1545848, 126.1073367, 2.8493321, 2.8079098, 1561.7164294
23.3400000000008, 188621.3265029, 126.1122691, 2.8443594, 2.8027968, 1561.6654153
23.3500000000009, 188558.5192579, 126.1171929, 2.8393953, 2.7976935, 1561.6144938
23.3600000000009, 188495.7328432, 126.1221080, 2.8344400, 2.7925998, 1561.5636646
23.3700000000009, 188432.9672519, 126.1270146, 2.8294933, 2.7875158, 1561.5129276
23.3800000000009, 188370.2224773, 126.1319127, 2.8245552, 2.7824414, 1561.4622826
23.3900000000009, 188307.4985126, 126.1368022, 2.8196257, 2.7773766, 1561.4117294
23.4000000000009, 188244.7953512, 126.1416831, 2.8147048, 2.7723214, 1561.3612678
23.4100000000009, 188182.1129863, 126.1465556, 2.8097925, 2.7672758, 1561.3108977
23.4200000000009, 188119.4514111, 126.1514195, 2.8048888, 2.7622398, 1561.2606190
23.4300000000009, 188056.8106190, 126.1562749, 2.7999937, 2.7572132, 1561.2104313
23.4400000000009, 187994.1906031, 126.1611219, 2.7951071, 2.7521962, 1561.1603346
23.4500000000009, 187931.5913567, 126.1659604, 2.7902290, 2.7471887, 1561.1103287
23.4600000000009, 187869.0128731, 126.1707905, 2.7853594, 2.7421906, 1561.0604134
23.4700000000009, 187806.4551456, 126.1756121, 2.7804983, 2.7372020, 1561.0105886
23.4800000000009, 187743.9181675, 126.1804253, 2.7756457, 2.7322228, 1560.9608541
23.4900000000009, 187681.4019319, 126.1852302, 2.7708016, 2.7272531, 1560.9112096
23.5000000000009, 187618.9064323, 126.1900266, 2.7659659, 2.7222927, 1560.8616551
23.5100000000009, 187556.4316618, 126.1948147, 2.7611387, 2.7173417, 1560.8121904
23.5200000000009, 187493.9776137, 126.1995944, 2.7563199, 2.7124001, 1560.7628153
23.5300000000009, 187431.5442814, 126.2043657, 2.7515095, 2.7074678, 1560.7135296
23.5400000000009, 187369.1316581, 126.2091288, 2.7467075, 2.7025448, 1560.6643332
23.5500000000009, 187306.7397371, 126.2138835, 2.7419138, 2.6976312, 1560.6152259
23.5600000000009, 187244.3685117, 126.2186299, 2.7371286, 2.6927268, 1560.5662075
23.5700000000009, 187182.0179751, 126.2233681, 2.7323517, 2.6878317, 1560.5172779
23.5800000000009, 187119.6881207, 126.2280980, 2.7275831, 2.6829458, 1560.4684369
23.5900000000009, 187057.3789418, 126.2328196, 2.7228228, 2.6780691, 1560.4196843
23.6000000000009, 186995.0904316, 126.2375330, 2.7180709, 2.6732017, 1560.3710200
23.6100000000009, 186932.8225834, 126.2422381, 2.7133272, 2.6683434, 1560.3224437
23.6200000000009, 186870.5753906, 126.2469351, 2.7085918, 2.6634944, 1560.2739555
23.6300000000009, 186808.3488464, 126.2516238, 2.7038647, 2.6586544, 1560.2255550
23.6400000000009, 186746.1429442, 126.2563044, 2.6991458, 2.6538236, 1560.1772421
23.6500000000009, 186683.9576772, 126.2609768, 2.6944352, 2.6490019, 1560.1290166
23.6600000000009, 186621.7930387, 126.2656410, 2.6897328, 2.6441894, 1560.0808785
23.6700000000009, 186559.6490221, 126.2702971, 2.6850386, 2.6393859, 1560.0328274
23.6800000000009, 186497.5256207, 126.2749451, 2.6803525, 2.6345914, 1559.9848633
23.6900000000009, 186435.4228277, 126.2795850, 2.6756747, 2.6298060, 1559.9369860
23.7000000000009, 186373.3406366, 126.2842167, 2.6710050, 2.6250296, 1559.8891953
23.7100000000009, 186311.2790405, 126.2888404, 2.6663435, 2.6202623, 1559.8414911
23.7200000000009, 186249.2380328, 126.2934560, 2.6616901, 2.6155039, 1559.7938732
23.7300000000009, 186187.2176069, 126.2980636, 2.6570448, 2.6107545, 1559.7463415
23.7400000000009, 186125.2177560, 126.3026631, 2.6524077, 2.6060140, 1559.6988957
23.7500000000009, 186063.2384735, 126.3072546, 2.6477786, 2.6012824, 1559.6515357
23.7600000000009, 186001.2797527, 126.3118381, 2.6431576, 2.5965598, 1559.6042614
23.7700000000009, 185939.3415870, 126.3164135, 2.6385446, 2.5918461, 1559.5570726
23.7800000000009, 185877.4239695, 126.3209810, 2.6339397, 2.5871413, 1559.5099692
23.7900000000009, 185815.5268938, 126.3255405, 2.6293429, 2.5824453, 1559.4629509
23.8000000000009, 185753.6503531, 126.3300921, 2.6247541, 2.5777581, 1559.4160176
23.8100000000009, 185691.7943407, 126.3346357, 2.6201732, 2.5730798, 1559.3691693
23.8200000000009, 185629.9588500, 126.3391714, 2.6156004, 2.5684103, 1559.3224056
23.8300000000009, 185568.1438743, 126.3436992, 2.6110356, 2.5637496, 1559.2757264
23.8400000000009, 185506.3494070, 126.3482191, 2.6064787, 2.5590977, 1559.2291317
23.8500000000009, 185444.5754414, 126.3527310, 2.6019297, 2.5544545, 1559.1826211
23.8600000000009, 185382.8219708, 126.3572351, 2.5973888, 2.5498200, 1559.1361947
23.8700000000009, 185321.0889886, 126.3617314, 2.5928557, 2.5451943, 1559.0898522
23.8800000000009, 185259.3764881, 126.3662198, 2.5883305, 2.5405773, 1559.0435934
23.8900000000009, 185197.6844627, 126.3707004, 2.5838133, 2.5359689, 1558.9974182
23.9000000000009, 185136.0129057, 126.3751731, 2.5793039, 2.5313693, 1558.9513265
23.9100000000009, 185074.3618105, 126.3796380, 2.5748024, 2.5267782, 1558.9053180
23.9200000000009, 185012.7311704, 126.3840952, 2.5703087, 2.5221958, 1558.8593927
23.9300000000009, 184951.1209789, 126.3885446, 2.5658229, 2.5176221, 1558.8135504
23.9400000000009, 184889.5312291, 126.3929862, 2.5613449, 2.5130569, 1558.7677909
23.9500000000009, 184827.9619146, 126.3974200, 2.5568747, 2.5085003, 1558.7221141
23.9600000000009, 184766.4130286, 126.4018461, 2.5524124, 2.5039522, 1558.6765198
23.9700000000009, 184704.8845646, 126.4062645, 2.5479578, 2.4994128, 1558.6310078
23.9800000000009, 184643.3765158, 126.4106752, 2.5435110, 2.4948818, 1558.5855781
23.990000000001, 184581.8888757, 126.4150782, 2.5390719, 2.4903593, 1558.5402304
24.000000000001, 184520.4216377, 126.4194735, 2.5346406, 2.4858454, 1558.4949646
24.010000000001, 184458.9747950, 126.4238611, 2.5302170, 2.4813399, 1558.4497805
24.020000000001, 184397.5483411, 126.4282411, 2.5258012, 2.4768429, 1558.4046781
24.030000000001, 184336.1422694, 126.4326134, 2.5213930, 2.4723543, 1558.3596571
24.040000000001, 184274.7565731, 126.4369781, 2.5169926, 2.4678742, 1558.3147174
24.050000000001, 184213.3912458, 126.4413352, 2.5125998, 2.4634025, 1558.2698588
24.060000000001, 184152.0462807, 126.4456847, 2.5082147, 2.4589391, 1558.2250812
24.070000000001, 184090.7216713, 126.4500265, 2.5038372, 2.4544842, 1558.1803845
24.080000000001, 184029.4174110, 126.4543608, 2.4994674, 2.4500376, 1558.1357684
24.090000000001, 183968.1334930, 126.4586876, 2.4951052, 2.4455993, 1558.0912329
24.100000000001, 183906.8699109, 126.4630068, 2.4907506, 2.4411694, 1558.0467778
24.110000000001, 183845.6266580, 126.4673184, 2.4864036, 2.4367478, 1558.0024029
24.120000000001, 183784.4037277, 126.4716225, 2.4820642, 2.4323344, 1557.9581081
24.130000000001, 183723.2011133, 126.4759192, 2.4777324, 2.4279294, 1557.9138932
24.140000000001, 183662.0188084, 126.4802083, 2.4734081, 2.4235326, 1557.8697581
24.150000000001, 183600.8568062, 126.4844899, 2.4690914, 2.4191440, 1557.8257027
24.160000000001, 183539.7151002, 126.4887641, 2.4647822, 2.4147637, 1557.7817267
24.170000000001, 183478.5936837, 126.4930307, 2.4604806, 2.4103916, 1557.7378301
24.180000000001, 183417.4925503, 126.4972900, 2.4561864, 2.4060277, 1557.6940127
24.190000000001, 183356.4116932, 126.5015418, 2.4518997, 2.4016720, 1557.6502744
24.200000000001, 183295.3511060, 126.5057862, 2.4476205, 2.3973244, 1557.6066149
24.210000000001, 183234.3107819, 126.5100232, 2.4433488, 2.3929850, 1557.5630342
24.220000000001, 183173.2907144, 126.5142528, 2.4390846, 2.3886537, 1557.5195322
24.230000000001, 183112.2908969, 126.5184750, 2.4348277, 2.3843305, 1557.4761085
24.240000000001, 183051.3113229, 126.5226899, 2.4305783, 2.3800154, 1557.4327632
24.250000000001, 182990.3519857, 126.5268973, 2.4263364, 2.3757084, 1557.3894961
24.260000000001, 182929.4128788, 126.5310975, 2.4221018, 2.3714094, 1557.3463070
24.270000000001, 182868.4939956, 126.5352903, 2.4178746, 2.3671185, 1557.3031958
24.280000000001, 182807.5953294, 126.5394758, 2.4136548, 2.3628357, 1557.2601623
24.290000000001, 182746.7168738, 126.5436540, 2.4094423, 2.3585608, 1557.2172064
24.300000000001, 182685.8586222, 126.5478249, 2.4052372, 2.3542940, 1557.1743279
24.310000000001, 182625.0205679, 126.5519885, 2.4010395, 2.3500351, 1557.1315268
24.320000000001, 182564.2027044, 126.5561449, 2.3968490, 2.3457842, 1557.0888028
24.330000000001, 182503.4050252, 126.5602940, 2.3926659, 2.3415413, 1557.0461558
24.340000000001, 182442.6275236, 126.5644358, 2.3884901, 2.3373063, 1557.0035857
24.350000000001, 182381.8701931, 126.5685705, 2.3843215, 2.3330792, 1556.9610923
24.360000000001, 182321.1330272, 126.5726979, 2.3801603, 2.3288600, 1556.9186755
24.370000000001, 182260.4160192, 126.5768181, 2.3760063, 2.3246488, 1556.8763352
24.380000000001, 182199.7191627, 126.5809311, 2.3718595, 2.3204454, 1556.8340711
24.390000000001, 182139.0424510, 126.5850369, 2.3677200, 2.3162498, 1556.7918832
24.400000000001, 182078.3858776, 126.5891356, 2.3635877, 2.3120621, 1556.7497714
24.410000000001, 182017.7494359, 126.5932271, 2.3594627, 2.3078822, 1556.7077354
24.420000000001, 181957.1331195, 126.5973115, 2.3553448, 2.3037102, 1556.6657751
24.430000000001, 181896.5369216, 126.6013888, 2.3512341, 2.2995459, 1556.6238905
24.440000000001, 181835.9608359, 126.6054589, 2.3471306, 2.2953894, 1556.5820813
24.450000000001, 181775.4048557, 126.6095219, 2.3430342, 2.2912407, 1556.5403474
24.460000000001, 181714.8689745, 126.6135779, 2.3389450, 2.2870997, 1556.4986887
24.470000000001, 181654.3531858, 126.6176268, 2.3348629, 2.2829665, 1556.4571051
24.480000000001, 181593.8574830, 126.6216686, 2.3307879, 2.2788409, 1556.4155963
24.490000000001, 181533.3818595, 126.6257033, 2.3267201, 2.2747231, 1556.3741623
24.500000000001, 181472.9263089, 126.6297310, 2.3226594, 2.2706130, 1556.3328029
24.510000000001, 181412.4908246, 126.6337517, 2.3186057, 2.2665105, 1556.2915180
24.520000000001, 181352.0754000, 126.6377653, 2.3145591, 2.2624157, 1556.2503074
24.530000000001, 181291.6800287, 126.6417720, 2.3105196, 2.2583286, 1556.2091711
24.540000000001, 181231.3047041, 126.6457716, 2.3064871, 2.2542491, 1556.1681088
24.550000000001, 181170.9494196, 126.6497643, 2.3024617, 2.2501772, 1556.1271204
24.560000000001, 181110.6141688, 126.6537500, 2.2984433, 2.2461129, 1556.0862058
24.570000000001, 181050.2989451, 126.6577288, 2.2944319, 2.2420561, 1556.0453649
24.580000000001, 180990.0037421, 126.6617006, 2.2904275, 2.2380070, 1556.0045975
24.590000000001, 180929.7285531, 126.6656655, 2.2864301, 2.2339654, 1555.9639035
24.600000000001, 180869.4733716, 126.6696234, 2.2824396, 2.2299313, 1555.9232828
24.610000000001, 180809.2381912, 126.6735745, 2.2784562, 2.2259047, 1555.8827351
24.620000000001, 180749.0230053, 126.6775186, 2.2744796, 2.2218857, 1555.8422605
24.6300000000011, 180688.8278075, 126.6814559, 2.2705101, 2.2178742, 1555.8018586
24.6400000000011, 180628.6525911, 126.6853863, 2.2665474, 2.2138701, 1555.7615295
24.6500000000011, 180568.4973497, 126.6893098, 2.2625917, 2.2098735, 1555.7212730
24.6600000000011, 180508.3620768, 126.6932265, 2.2586428, 2.2058843, 1555.6810888
24.6700000000011, 180448.2467659, 126.6971364, 2.2547009, 2.2019026, 1555.6409770
24.6800000000011, 180388.1514105, 126.7010394, 2.2507658, 2.1979283, 1555.6009374
24.6900000000011, 180328.0760040, 126.7049356, 2.2468376, 2.1939614, 1555.5609698
24.7000000000011, 180268.0205400, 126.7088251, 2.2429163, 2.1900019, 1555.5210741
24.7100000000011, 180207.9850119, 126.7127077, 2.2390018, 2.1860498, 1555.4812501
24.7200000000011, 180147.9694134, 126.7165836, 2.2350941, 2.1821050, 1555.4414978
24.7300000000011, 180087.9737378, 126.7204526, 2.2311933, 2.1781676, 1555.4018170
24.7400000000011, 180027.9979787, 126.7243150, 2.2272992, 2.1742375, 1555.3622076
24.7500000000011, 179968.0421296, 126.7281706, 2.2234120, 2.1703147, 1555.3226694
24.7600000000011, 179908.1061840, 126.7320195, 2.2195315, 2.1663993, 1555.2832023
24.7700000000011, 179848.1901354, 126.7358616, 2.2156578, 2.1624911, 1555.2438062
24.7800000000011, 179788.2939774, 126.7396971, 2.2117909, 2.1585902, 1555.2044809
24.7900000000011, 179728.4177034, 126.7435258, 2.2079307, 2.1546966, 1555.1652264
24.8000000000011, 179668.5613069, 126.7473479, 2.2040773, 2.1508102, 1555.1260424
24.8100000000011, 179608.7247816, 126.7511633, 2.2002305, 2.1469310, 1555.0869289
24.8200000000011, 179548.9081208, 126.7549720, 2.1963905, 2.1430590, 1555.0478857
24.8300000000011, 179489.1113182, 126.7587741, 2.1925572, 2.1391943, 1555.0089127
24.8400000000011, 179429.3343673, 126.7625696, 2.1887306, 2.1353367, 1554.9700098
24.8500000000011, 179369.5772615, 126.7663584, 2.1849107, 2.1314864, 1554.9311768
24.8600000000011, 179309.8399945, 126.7701406, 2.1810974, 2.1276431, 1554.8924135
24.8700000000011, 179250.1225597, 126.7739162, 2.1772908, 2.1238071, 1554.8537200
24.8800000000011, 179190.4249507, 126.7776853, 2.1734908, 2.1199781, 1554.8150960
24.8900000000011, 179130.7471610, 126.7814477, 2.1696975, 2.1161563, 1554.7765414
24.9000000000011, 179071.0891842, 126.7852036, 2.1659107, 2.1123416, 1554.7380562
24.9100000000011, 179011.4510137, 126.7889529, 2.1621306, 2.1085340, 1554.6996400
24.9200000000011, 178951.8326432, 126.7926957, 2.1583571, 2.1047334, 1554.6612929
24.9300000000011, 178892.2340661, 126.7964320, 2.1545901, 2.1009399, 1554.6230148
24.9400000000011, 178832.6552761, 126.8001617, 2.1508298, 2.0971535, 1554.5848053
24.9500000000011, 178773.0962667, 126.8038849, 2.1470760, 2.0933741, 1554.5466646
24.9600000000011, 178713.5570313, 126.8076017, 2.1433287, 2.0896017, 1554.5085923
24.9700000000011, 178654.0375636, 126.8113119, 2.1395880, 2.0858363, 1554.4705885
24.9800000000011, 178594.5378572, 126.8150157, 2.1358538, 2.0820779, 1554.4326529
24.9900000000011, 178535.0579055, 126.8187130, 2.1321262, 2.0783265, 1554.3947855
25.0000000000011, 178475.5977021, 126.8224038, 2.1284050, 2.0745821, 1554.3569861
25.0100000000011, 178416.1572406, 126.8260882, 2.1246903, 2.0708446, 1554.3192546
25.0200000000011, 178356.7365146, 126.8297662, 2.1209822, 2.0671141, 1554.2815908
25.0300000000011, 178297.3355176, 126.8334378, 2.1172805, 2.0633905, 1554.2439947
25.0400000000011, 178237.9542431, 126.8371029, 2.1135852, 2.0596738, 1554.2064661
25.0500000000011, 178178.5926848, 126.8407617, 2.1098964, 2.0559640, 1554.1690049
25.0600000000011, 178119.2508361, 126.8444140, 2.1062140, 2.0522610, 1554.1316110
25.0700000000011, 178059.9286908, 126.8480600, 2.1025381, 2.0485650, 1554.0942842
25.0800000000011, 178000.6262422, 126.8516997, 2.0988686, 2.0448758, 1554.0570245
25.0900000000011, 177941.3434841, 126.8553329, 2.0952054, 2.0411934, 1554.0198316
25.1000000000011, 177882.0804100, 126.8589599, 2.0915487, 2.0375179, 1553.9827055
25.1100000000011, 177822.8370134, 126.8625805, 2.0878984, 2.0338492, 1553.9456461
25.1200000000011, 177763.6132880, 126.8661948, 2.0842544, 2.0301873, 1553.9086532
25.1300000000011, 177704.4092273, 126.8698027, 2.0806168, 2.0265322, 1553.8717267
25.1400000000011, 177645.2248249, 126.8734044, 2.0769855, 2.0228839, 1553.8348665
25.1500000000011, 177586.0600744, 126.8769998, 2.0733606, 2.0192423, 1553.7980724
25.1600000000011, 177526.9149694, 126.8805889, 2.0697419, 2.0156075, 1553.7613444
25.1700000000011, 177467.7895034, 126.8841718, 2.0661297, 2.0119794, 1553.7246823
25.1800000000011, 177408.6836701, 126.8877484, 2.0625237, 2.0083581, 1553.6880860
25.1900000000011, 177349.5974630, 126.8913188, 2.0589240, 2.0047434, 1553.6515553
25.2000000000011, 177290.5308757, 126.8948829, 2.0553305, 2.0011355, 1553.6150902
25.2100000000011, 177231.4839019, 126.8984408, 2.0517434, 1.9975342, 1553.5786906
25.2200000000011, 177172.4565351, 126.9019925, 2.0481625, 1.9939397, 1553.5423563
