,C,D,I,S,T
6.32089999999986, 2821.1780024, 788.8701226, 2046.8009788, 2082.2032328, 12.2849288
6.32399999999986, 2820.6659873, 789.2931009, 2046.5208523, 2081.9828526, 12.3540745
6.32709999999986, 2820.1546000, 789.7160214, 2046.2407743, 2081.7630740, 12.4231598
6.33019999999986, 2819.6438403, 790.1388840, 2045.9607452, 2081.5438965, 12.4921846
6.33329999999986, 2819.1337077, 790.5616886, 2045.6807657, 2081.3253196, 12.5611486
6.33639999999986, 2818.6242020, 790.9844355, 2045.4008361, 2081.1073428, 12.6300515
6.33949999999986, 2818.1153229, 791.4071244, 2045.1209569, 2080.8899657, 12.6988931
6.34259999999986, 2817.6070700, 791.8297555, 2044.8411287, 2080.6731878, 12.7676732
6.34569999999986, 2817.0994430, 792.2523288, 2044.5613519, 2080.4570087, 12.8363914
6.34879999999986, 2816.5924415, 792.6748442, 2044.2816271, 2080.2414278, 12.9050477
6.35189999999986, 2816.0860654, 793.0973019, 2044.0019546, 2080.0264447, 12.9736416
6.35499999999986, 2815.5803141, 793.5197017, 2043.7223351, 2079.8120589, 13.0421729
6.35809999999986, 2815.0751875, 793.9420437, 2043.4427689, 2079.5982699, 13.1106415
6.36119999999986, 2814.5706852, 794.3643279, 2043.1632566, 2079.3850773, 13.1790471
6.36429999999986, 2814.0668068, 794.7865544, 2042.8837986, 2079.1724806, 13.2473893
6.36739999999986, 2813.5635521, 795.2087231, 2042.6043955, 2078.9604794, 13.3156680
6.37049999999986, 2813.0609206, 795.6308341, 2042.3250476, 2078.7490731, 13.3838829
6.37359999999986, 2812.5589122, 796.0528873, 2042.0457556, 2078.5382613, 13.4520338
6.37669999999986, 2812.0575264, 796.4748828, 2041.7665198, 2078.3280435, 13.5201204
6.37979999999986, 2811.5567630, 796.8968206, 2041.4873408, 2078.1184193, 13.5881425
6.38289999999986, 2811.0566216, 797.3187007, 2041.2082190, 2077.9093882, 13.6560998
6.38599999999986, 2810.5571019, 797.7405230, 2040.9291548, 2077.7009497, 13.7239921
6.38909999999986, 2810.0582035, 798.1622877, 2040.6501489, 2077.4931034, 13.7918192
6.39219999999986, 2809.5599262, 798.5839948, 2040.3712016, 2077.2858488, 13.8595807
6.39529999999986, 2809.0622696, 799.0056442, 2040.0923134, 2077.0791854, 13.9272765
6.39839999999986, 2808.5652333, 799.4272359, 2039.8134848, 2076.8731128, 13.9949062
6.40149999999986, 2808.0688172, 799.8487700, 2039.5347162, 2076.6676305, 14.0624698
6.40459999999986, 2807.5730207, 800.2702465, 2039.2560081, 2076.4627381, 14.1299668
6.40769999999986, 2807.0778437, 800.6916654, 2038.9773611, 2076.2584351, 14.1973971
6.41079999999986, 2806.5832857, 801.1130267, 2038.6987755, 2076.0547210, 14.2647604
6.41389999999986, 2806.0893465, 801.5343304, 2038.4202518, 2075.8515954, 14.3320564
6.41699999999986, 2805.5960257, 801.9555766, 2038.1417905, 2075.6490578, 14.3992850
6.42009999999986, 2805.1033230, 802.3767652, 2037.8633921, 2075.4471078, 14.4664459
6.42319999999986, 2804.6112380, 802.7978962, 2037.5850570, 2075.2457448, 14.5335388
6.42629999999986, 2804.1197705, 803.2189698, 2037.3067856, 2075.0449686, 14.6005635
6.42939999999986, 2803.6289201, 803.6399858, 2037.0285785, 2074.8447785, 14.6675197
6.43249999999986, 2803.1386864, 804.0609443, 2036.7504360, 2074.6451741, 14.7344072
6.43559999999986, 2802.6490693, 804.4818453, 2036.4723587, 2074.4461550, 14.8012258
6.43869999999986, 2802.1600682, 804.9026889, 2036.1943470, 2074.2477207, 14.8679752
6.44179999999986, 2801.6716829, 805.3234749, 2035.9164014, 2074.0498708, 14.9346552
6.44489999999986, 2801.1839131, 805.7442036, 2035.6385222, 2073.8526048, 15.0012655
6.44799999999986, 2800.6967584, 806.1648748, 2035.3607101, 2073.6559223, 15.0678058
6.45109999999986, 2800.2102185, 806.5854886, 2035.0829653, 2073.4598228, 15.1342760
6.45419999999986, 2799.7242930, 807.0060450, 2034.8052885, 2073.2643059, 15.2006758
6.45729999999986, 2799.2389817, 807.4265440, 2034.5276799, 2073.0693710, 15.2670049
6.46039999999986, 2798.7542842, 807.8469856, 2034.2501401, 2072.8750179, 15.3332632
6.46349999999986, 2798.2702002, 808.2673699, 2033.9726695, 2072.6812459, 15.3994502
6.46659999999986, 2797.7867293, 808.6876968, 2033.6952686, 2072.4880547, 15.4655659
6.46969999999986, 2797.3038712, 809.1079663, 2033.4179378, 2072.2954438, 15.5316100
6.47279999999986, 2796.8216256, 809.5281786, 2033.1406776, 2072.1034128, 15.5975822
6.47589999999986, 2796.3399922, 809.9483335, 2032.8634883, 2071.9119612, 15.6634823
6.47899999999986, 2795.8589705, 810.3684312, 2032.5863705, 2071.7210886, 15.7293100
6.48209999999986, 2795.3785604, 810.7884716, 2032.3093246, 2071.5307945, 15.7950651
6.48519999999986, 2794.8987613, 811.2084547, 2032.0323510, 2071.3410785, 15.8607474
6.48829999999986, 2794.4195731, 811.6283806, 2031.7554501, 2071.1519401, 15.9263566
6.49139999999986, 2793.9409954, 812.0482492, 2031.4786224, 2070.9633789, 15.9918925
6.49449999999986, 2793.4630279, 812.4680607, 2031.2018684, 2070.7753945, 16.0573547
6.49759999999986, 2792.9856701, 812.8878149, 2030.9251885, 2070.5879864, 16.1227432
6.50069999999986, 2792.5089219, 813.3075120, 2030.6485830, 2070.4011541, 16.1880576
6.50379999999986, 2792.0327827, 813.7271519, 2030.3720526, 2070.2148973, 16.2532977
6.50689999999986, 2791.5572525, 814.1467346, 2030.0955974, 2070.0292155, 16.3184633
6.50999999999986, 2791.0823306, 814.5662602, 2029.8192181, 2069.8441082, 16.3835541
6.51309999999986, 2790.6080170, 814.9857287, 2029.5429150, 2069.6595751, 16.4485698
6.51619999999986, 2790.1343111, 815.4051400, 2029.2666886, 2069.4756156, 16.5135103
6.51929999999986, 2789.6612127, 815.8244943, 2028.9905393, 2069.2922293, 16.5783753
6.52239999999986, 2789.1887215, 816.2437915, 2028.7144675, 2069.1094159, 16.6431645
6.52549999999986, 2788.7168371, 816.6630316, 2028.4384737, 2068.9271748, 16.7078777
6.52859999999986, 2788.2455591, 817.0822147, 2028.1625583, 2068.7455056, 16.7725147
6.53169999999986, 2787.7748873, 817.5013408, 2027.8867216, 2068.5644079, 16.8370752
6.53479999999986, 2787.3048213, 817.9204099, 2027.6109642, 2068.3838813, 16.9015590
6.53789999999986, 2786.8353607, 818.3394220, 2027.3352864, 2068.2039253, 16.9659658
6.54099999999986, 2786.3665053, 818.7583771, 2027.0596887, 2068.0245394, 17.0302954
6.54409999999986, 2785.8982546, 819.1772752, 2026.7841715, 2067.8457234, 17.0945476
6.54719999999986, 2785.4306085, 819.5961164, 2026.5087352, 2067.6674766, 17.1587221
6.55029999999986, 2784.9635664, 820.0149007, 2026.2333803, 2067.4897988, 17.2228187
6.55339999999986, 2784.4971282, 820.4336280, 2025.9581070, 2067.3126894, 17.2868370
6.55649999999986, 2784.0312933, 820.8522985, 2025.6829160, 2067.1361480, 17.3507770
6.55959999999986, 2783.5660616, 821.2709121, 2025.4078075, 2066.9601743, 17.4146384
6.56269999999986, 2783.1014327, 821.6894688, 2025.1327820, 2066.7847677, 17.4784208
6.56579999999986, 2782.6374062, 822.1079687, 2024.8578400, 2066.6099278, 17.5421241
6.56889999999986, 2782.1739818, 822.5264118, 2024.5829817, 2066.4356543, 17.6057480
6.57199999999986, 2781.7111592, 822.9447980, 2024.3082077, 2066.2619467, 17.6692923
6.57509999999986, 2781.2489380, 823.3631275, 2024.0335184, 2066.0888045, 17.7327568
6.57819999999986, 2780.7873178, 823.7814002, 2023.7589141, 2065.9162274, 17.7961411
6.58129999999985, 2780.3262985, 824.1996162, 2023.4843952, 2065.7442149, 17.8594452
6.58439999999985, 2779.8658795, 824.6177754, 2023.2099623, 2065.5727666, 17.9226686
6.58749999999985, 2779.4060606, 825.0358779, 2022.9356156, 2065.4018820, 17.9858112
6.59059999999985, 2778.9468415, 825.4539237, 2022.6613555, 2065.2315608, 18.0488728
6.59369999999985, 2778.4882217, 825.8719128, 2022.3871826, 2065.0618025, 18.1118531
6.59679999999985, 2778.0302010, 826.2898452, 2022.1130972, 2064.8926067, 18.1747518
6.59989999999985, 2777.5727790, 826.7077210, 2021.8390996, 2064.7239730, 18.2375688
6.60299999999985, 2777.1159554, 827.1255402, 2021.5651904, 2064.5559010, 18.3003037
6.60609999999985, 2776.6597298, 827.5433028, 2021.2913699, 2064.3883902, 18.3629563
6.60919999999985, 2776.2041020, 827.9610088, 2021.0176384, 2064.2214402, 18.4255265
6.61229999999985, 2775.7490714, 828.3786582, 2020.7439965, 2064.0550506, 18.4880139
6.61539999999985, 2775.2946379, 828.7962510, 2020.4704444, 2063.8892210, 18.5504184
6.61849999999985, 2774.8408011, 829.2137873, 2020.1969826, 2063.7239510, 18.6127396
6.62159999999985, 2774.3875607, 829.6312671, 2019.9236115, 2063.5592402, 18.6749773
6.62469999999985, 2773.9349162, 830.0486904, 2019.6503315, 2063.3950880, 18.7371314
6.62779999999985, 2773.4828674, 830.4660572, 2019.3771430, 2063.2314942, 18.7992015
6.63089999999985, 2773.0314139, 830.8833676, 2019.1040463, 2063.0684583, 18.8611874
6.63399999999985, 2772.5805554, 831.3006215, 2018.8310419, 2062.9059799, 18.9230889
6.63709999999985, 2772.1302915, 831.7178190, 2018.5581302, 2062.7440586, 18.9849058
6.64019999999985, 2771.6806220, 832.1349601, 2018.2853115, 2062.5826940, 19.0466377
6.64329999999985, 2771.2315464, 832.5520448, 2018.0125862, 2062.4218856, 19.1082845
6.64639999999985, 2770.7830644, 832.9690731, 2017.7399547, 2062.2616330, 19.1698459
6.64949999999985, 2770.3351757, 833.3860451, 2017.4674174, 2062.1019359, 19.2313217
6.65259999999985, 2769.8878799, 833.8029608, 2017.1949748, 2061.9427939, 19.2927116
6.65569999999985, 2769.4411767, 834.2198202, 2016.9226271, 2061.7842064, 19.3540155
6.65879999999985, 2768.9950657, 834.6366233, 2016.6503747, 2061.6261732, 19.4152329
6.66189999999985, 2768.5495467, 835.0533701, 2016.3782181, 2061.4686937, 19.4763638
6.66499999999985, 2768.1046193, 835.4700607, 2016.1061576, 2061.3117677, 19.5374079
6.66809999999985, 2767.6602830, 835.8866950, 2015.8341937, 2061.1553947, 19.5983649
6.67119999999985, 2767.2165377, 836.3032731, 2015.5623266, 2060.9995742, 19.6592347
6.67429999999985, 2766.7733829, 836.7197951, 2015.2905568, 2060.8443059, 19.7200168
6.67739999999985, 2766.3308183, 837.1362609, 2015.0188846, 2060.6895894, 19.7807112
6.68049999999985, 2765.8888435, 837.5526705, 2014.7473105, 2060.5354243, 19.8413176
6.68359999999985, 2765.4474583, 837.9690240, 2014.4758347, 2060.3818102, 19.9018357
6.68669999999985, 2765.0066622, 838.3853214, 2014.2044577, 2060.2287466, 19.9622653
6.68979999999985, 2764.5664550, 838.8015628, 2013.9331799, 2060.0762332, 20.0226062
6.69289999999985, 2764.1268363, 839.2177480, 2013.6620016, 2059.9242696, 20.0828581
6.69599999999985, 2763.6878057, 839.6338772, 2013.3909232, 2059.7728553, 20.1430207
6.69909999999985, 2763.2493629, 840.0499504, 2013.1199450, 2059.6219900, 20.2030940
6.70219999999985, 2762.8115075, 840.4659676, 2012.8490675, 2059.4716733, 20.2630775
6.70529999999985, 2762.3742393, 840.8819288, 2012.5782910, 2059.3219048, 20.3229710
6.70839999999985, 2761.9375579, 841.2978341, 2012.3076159, 2059.1726840, 20.3827744
6.71149999999985, 2761.5014628, 841.7136834, 2012.0370425, 2059.0240106, 20.4424874
6.71459999999985, 2761.0659539, 842.1294768, 2011.7665713, 2058.8758842, 20.5021097
6.71769999999985, 2760.6310307, 842.5452143, 2011.4962025, 2058.7283044, 20.5616411
6.72079999999985, 2760.1966929, 842.9608959, 2011.2259365, 2058.5812708, 20.6210814
6.72389999999985, 2759.7629402, 843.3765216, 2010.9557738, 2058.4347830, 20.6804303
6.72699999999985, 2759.3297721, 843.7920916, 2010.6857146, 2058.2888406, 20.7396876
6.73009999999985, 2758.8971884, 844.2076057, 2010.4157594, 2058.1434432, 20.7988530
6.73319999999985, 2758.4651888, 844.6230640, 2010.1459085, 2057.9985905, 20.8579263
6.73629999999985, 2758.0337728, 845.0384666, 2009.8761622, 2057.8542820, 20.9169073
6.73939999999985, 2757.6029402, 845.4538134, 2009.6065209, 2057.7105173, 20.9757957
6.74249999999985, 2757.1726905, 845.8691045, 2009.3369851, 2057.5672961, 21.0345913
6.74559999999985, 2756.7430235, 846.2843399, 2009.0675549, 2057.4246180, 21.0932938
6.74869999999985, 2756.3139388, 846.6995196, 2008.7982308, 2057.2824825, 21.1519031
6.75179999999985, 2755.8854360, 847.1146436, 2008.5290132, 2057.1408894, 21.2104187
6.75489999999985, 2755.4575149, 847.5297120, 2008.2599024, 2056.9998381, 21.2688407
6.75799999999985, 2755.0301750, 847.9447248, 2007.9908987, 2056.8593284, 21.3271685
6.76109999999985, 2754.6034160, 848.3596820, 2007.7220026, 2056.7193598, 21.3854022
6.76419999999985, 2754.1772376, 848.7745836, 2007.4532143, 2056.5799320, 21.4435413
6.76729999999985, 2753.7516395, 849.1894297, 2007.1845342, 2056.4410445, 21.5015857
6.77039999999985, 2753.3266212, 849.6042203, 2006.9159627, 2056.3026971, 21.5595351
6.77349999999985, 2752.9021825, 850.0189553, 2006.6475001, 2056.1648892, 21.6173893
6.77659999999985, 2752.4783229, 850.4336349, 2006.3791468, 2056.0276206, 21.6751480
6.77969999999985, 2752.0550422, 850.8482590, 2006.1109030, 2055.8908908, 21.7328110
6.78279999999985, 2751.6323400, 851.2628276, 2005.8427692, 2055.7546995, 21.7903781
6.78589999999985, 2751.2102160, 851.6773409, 2005.5747458, 2055.6190462, 21.8478490
6.78899999999985, 2750.7886697, 852.0917988, 2005.3068329, 2055.4839307, 21.9052235
6.79209999999985, 2750.3677009, 852.5062013, 2005.0390311, 2055.3493525, 21.9625013
6.79519999999985, 2749.9473093, 852.9205484, 2004.7713406, 2055.2153113, 22.0196822
6.79829999999985, 2749.5274944, 853.3348403, 2004.5037618, 2055.0818066, 22.0767659
6.80139999999985, 2749.1082560, 853.7490768, 2004.2362950, 2054.9488381, 22.1337523
6.80449999999985, 2748.6895936, 854.1632581, 2003.9689406, 2054.8164055, 22.1906410
6.80759999999985, 2748.2715069, 854.5773841, 2003.7016988, 2054.6845083, 22.2474319
6.81069999999985, 2747.8539957, 854.9914549, 2003.4345701, 2054.5531463, 22.3041246
6.81379999999985, 2747.4370595, 855.4054704, 2003.1675548, 2054.4223189, 22.3607190
6.81689999999985, 2747.0206979, 855.8194308, 2002.9006532, 2054.2920258, 22.4172148
6.81999999999985, 2746.6049108, 856.2333361, 2002.6338657, 2054.1622668, 22.4736118
6.82309999999985, 2746.1896976, 856.6471862, 2002.3671925, 2054.0330413, 22.5299097
6.82619999999985, 2745.7750581, 857.0609812, 2002.1006340, 2053.9043490, 22.5861083
6.82929999999985, 2745.3609919, 857.4747211, 2001.8341907, 2053.7761897, 22.6422073
6.83239999999985, 2744.9474986, 857.8884059, 2001.5678627, 2053.6485628, 22.6982065
6.83549999999985, 2744.5345780, 858.3020357, 2001.3016504, 2053.5214680, 22.7541057
6.83859999999985, 2744.1222296, 858.7156105, 2001.0355541, 2053.3949050, 22.8099046
6.84169999999984, 2743.7104532, 859.1291303, 2000.7695743, 2053.2688734, 22.8656029
6.84479999999984, 2743.2992483, 859.5425952, 2000.5037112, 2053.1433728, 22.9212005
6.84789999999984, 2742.8886146, 859.9560050, 2000.2379651, 2053.0184029, 22.9766971
6.85099999999984, 2742.4785519, 860.3693600, 1999.9723363, 2052.8939633, 23.0320924
6.85409999999984, 2742.0690596, 860.7826601, 1999.7068253, 2052.7700537, 23.0873862
6.85719999999984, 2741.6601376, 861.1959053, 1999.4414323, 2052.6466736, 23.1425783
6.86029999999984, 2741.2517853, 861.6090957, 1999.1761576, 2052.5238227, 23.1976684
6.86339999999984, 2740.8440026, 862.0222312, 1998.9110016, 2052.4015007, 23.2526563
6.86649999999984, 2740.4367890, 862.4353119, 1998.6459646, 2052.2797072, 23.3075417
6.86959999999984, 2740.0301442, 862.8483379, 1998.3810469, 2052.1584419, 23.3623244
6.87269999999984, 2739.6240679, 863.2613091, 1998.1162489, 2052.0377043, 23.4170041
6.87579999999984, 2739.2185596, 863.6742256, 1997.8515708, 2051.9174942, 23.4715807
6.87889999999984, 2738.8136191, 864.0870874, 1997.5870129, 2051.7978111, 23.5260538
6.88199999999984, 2738.4092460, 864.4998946, 1997.3225757, 2051.6786548, 23.5804232
6.88509999999984, 2738.0054400, 864.9126471, 1997.0582594, 2051.5600248, 23.6346887
6.88819999999984, 2737.6022007, 865.3253449, 1996.7940643, 2051.4419209, 23.6888500
6.89129999999984, 2737.1995277, 865.7379882, 1996.5299908, 2051.3243426, 23.7429069
6.89439999999984, 2736.7974207, 866.1505769, 1996.2660391, 2051.2072896, 23.7968592
6.89749999999984, 2736.3958794, 866.5631110, 1996.0022096, 2051.0907616, 23.8507066
6.90059999999984, 2735.9949035, 866.9755906, 1995.7385026, 2050.9747581, 23.9044488
6.90369999999984, 2735.5944925, 867.3880158, 1995.4749185, 2050.8592790, 23.9580856
6.90679999999984, 2735.1946461, 867.8003864, 1995.2114574, 2050.7443237, 24.0116168
6.90989999999984, 2734.7953639, 868.2127026, 1994.9481198, 2050.6298920, 24.0650421
6.91299999999984, 2734.3966457, 868.6249644, 1994.6849059, 2050.5159835, 24.1183613
6.91609999999984, 2733.9984911, 869.0371718, 1994.4218160, 2050.4025979, 24.1715741
6.91919999999984, 2733.6008997, 869.4493249, 1994.1588505, 2050.2897349, 24.2246803
6.92229999999984, 2733.2038712, 869.8614235, 1993.8960097, 2050.1773940, 24.2776796
6.92539999999984, 2732.8074052, 870.2734679, 1993.6332939, 2050.0655749, 24.3305718
6.92849999999984, 2732.4115014, 870.6854580, 1993.3707033, 2049.9542773, 24.3833567
6.93159999999984, 2732.0161595, 871.0973938, 1993.1082383, 2049.8435009, 24.4360340
6.93469999999984, 2731.6213790, 871.5092754, 1992.8458992, 2049.7332453, 24.4886035
6.93779999999984, 2731.2271597, 871.9211027, 1992.5836863, 2049.6235102, 24.5410648
6.94089999999984, 2730.8335011, 872.3328759, 1992.3216000, 2049.5142952, 24.5934178
6.94399999999984, 2730.4404030, 872.7445949, 1992.0596404, 2049.4056000, 24.6456623
6.94709999999984, 2730.0478650, 873.1562598, 1991.7978079, 2049.2974242, 24.6977979
6.95019999999984, 2729.6558867, 873.5678705, 1991.5361028, 2049.1897676, 24.7498245
6.95329999999984, 2729.2644678, 873.9794272, 1991.2745254, 2049.0826298, 24.8017417
6.95639999999984, 2728.8736080, 874.3909299, 1991.0130761, 2048.9760104, 24.8535493
6.95949999999984, 2728.4833068, 874.8023785, 1990.7517550, 2048.8699092, 24.9052472
6.96259999999984, 2728.0935640, 875.2137730, 1990.4905625, 2048.7643257, 24.9568350
6.96569999999984, 2727.7043792, 875.6251137, 1990.2294989, 2048.6592597, 25.0083125
6.96879999999984, 2727.3157521, 876.0364003, 1989.9685645, 2048.5547107, 25.0596794
6.97189999999984, 2726.9276822, 876.4476331, 1989.7077597, 2048.4506786, 25.1109355
6.97499999999984, 2726.5401694, 876.8588119, 1989.4470845, 2048.3471630, 25.1620806
6.97809999999984, 2726.1532131, 877.2699369, 1989.1865395, 2048.2441635, 25.2131143
6.98119999999984, 2725.7668130, 877.6810081, 1988.9261248, 2048.1416798, 25.2640365
6.98429999999984, 2725.3809689, 878.0920254, 1988.6658408, 2048.0397115, 25.3148470
6.98739999999984, 2724.9956804, 878.5029889, 1988.4056877, 2047.9382584, 25.3655453
6.99049999999984, 2724.6109470, 878.9138987, 1988.1456659, 2047.8373202, 25.4161314
6.99359999999984, 2724.2267685, 879.3247548, 1987.8857756, 2047.7368964, 25.4666049
6.99669999999984, 2723.8431445, 879.7355571, 1987.6260171, 2047.6369869, 25.5169657
6.99979999999984, 2723.4600747, 880.1463058, 1987.3663907, 2047.5375912, 25.5672134
7.00289999999984, 2723.0775587, 880.5570008, 1987.1068968, 2047.4387090, 25.6173478
7.00599999999984, 2722.6955962, 880.9676421, 1986.8475355, 2047.3403401, 25.6673686
7.00909999999984, 2722.3141868, 881.3782299, 1986.5883071, 2047.2424840, 25.7172757
7.01219999999984, 2721.9333301, 881.7887641, 1986.3292120, 2047.1451405, 25.7670687
7.01529999999984, 2721.5530259, 882.1992448, 1986.0702505, 2047.0483093, 25.8167474
7.01839999999984, 2721.1732737, 882.6096720, 1985.8114227, 2046.9519901, 25.8663116
7.02149999999984, 2720.7940733, 883.0200457, 1985.5527291, 2046.8561824, 25.9157610
7.02459999999984, 2720.4154242, 883.4303659, 1985.2941698, 2046.7608861, 25.9650953
7.02769999999984, 2720.0373262, 883.8406327, 1985.0357452, 2046.6661008, 26.0143143
7.03079999999984, 2719.6597788, 884.2508460, 1984.7774556, 2046.5718262, 26.0634178
7.03389999999984, 2719.2827817, 884.6610060, 1984.5193011, 2046.4780619, 26.1124054
7.03699999999984, 2718.9063347, 885.0711127, 1984.2612822, 2046.3848077, 26.1612770
7.04009999999984, 2718.5304372, 885.4811660, 1984.0033990, 2046.2920633, 26.2100323
7.04319999999984, 2718.1550890, 885.8911661, 1983.7456519, 2046.1998283, 26.2586710
7.04629999999984, 2717.7802898, 886.3011129, 1983.4880411, 2046.1081025, 26.3071929
7.04939999999984, 2717.4060392, 886.7110064, 1983.2305670, 2046.0168855, 26.3555978
7.05249999999984, 2717.0323367, 887.1208468, 1982.9732297, 2045.9261770, 26.4038853
7.05559999999984, 2716.6591822, 887.5306339, 1982.7160295, 2045.8359768, 26.4520552
7.05869999999984, 2716.2865752, 887.9403679, 1982.4589668, 2045.7462844, 26.5001073
7.06179999999984, 2715.9145154, 888.3500488, 1982.2020418, 2045.6570997, 26.5480413
7.06489999999984, 2715.5430024, 888.7596766, 1981.9452547, 2045.5684223, 26.5958570
7.06799999999984, 2715.1720359, 889.1692514, 1981.6886059, 2045.4802519, 26.6435540
7.07109999999984, 2714.8016155, 889.5787731, 1981.4320956, 2045.3925882, 26.6911322
7.07419999999984, 2714.4317409, 889.9882418, 1981.1757241, 2045.3054310, 26.7385913
7.07729999999984, 2714.0624118, 890.3976575, 1980.9194916, 2045.2187798, 26.7859311
7.08039999999984, 2713.6936278, 890.8070203, 1980.6633985, 2045.1326345, 26.8331512
7.08349999999984, 2713.3253885, 891.2163301, 1980.4074449, 2045.0469946, 26.8802514
7.08659999999984, 2712.9576936, 891.6255871, 1980.1516312, 2044.9618601, 26.9272315
7.08969999999984, 2712.5905427, 892.0347911, 1979.8959576, 2044.8772304, 26.9740912
7.09279999999984, 2712.2239356, 892.4439424, 1979.6404244, 2044.7931054, 27.0208302
7.09589999999984, 2711.8578718, 892.8530409, 1979.3850318, 2044.7094847, 27.0674484
7.09899999999983, 2711.4923510, 893.2620865, 1979.1297801, 2044.6263681, 27.1139454
7.10209999999983, 2711.1273728, 893.6710795, 1978.8746696, 2044.5437553, 27.1603209
7.10519999999983, 2710.7629370, 894.0800197, 1978.6197005, 2044.4616459, 27.2065748
7.10829999999983, 2710.3990431, 894.4889072, 1978.3648731, 2044.3800398, 27.2527067
7.11139999999983, 2710.0356908, 894.8977421, 1978.1101877, 2044.2989365, 27.2987164
7.11449999999983, 2709.6728798, 895.3065243, 1977.8556444, 2044.2183359, 27.3446036
7.11759999999983, 2709.3106097, 895.7152539, 1977.6012437, 2044.1382376, 27.3903682
7.12069999999983, 2708.9488801, 896.1239310, 1977.3469856, 2044.0586413, 27.4360097
7.12379999999983, 2708.5876907, 896.5325555, 1977.0928706, 2043.9795468, 27.4815280
7.12689999999983, 2708.2270413, 896.9411275, 1976.8388988, 2043.9009538, 27.5269228
7.12999999999983, 2707.8669313, 897.3496471, 1976.5850705, 2043.8228621, 27.5721938
7.13309999999983, 2707.5073605, 897.7581142, 1976.3313859, 2043.7452712, 27.6173408
7.13619999999983, 2707.1483285, 898.1665288, 1976.0778454, 2043.6681810, 27.6623635
7.13929999999983, 2706.7898350, 898.5748911, 1975.8244491, 2043.5915912, 27.7072616
7.14239999999983, 2706.4318796, 898.9832010, 1975.5711973, 2043.5155015, 27.7520350
7.14549999999983, 2706.0744620, 899.3914585, 1975.3180903, 2043.4399116, 27.7966832
7.14859999999983, 2705.7175818, 899.7996638, 1975.0651283, 2043.3648212, 27.8412061
7.15169999999983, 2705.3612387, 900.2078168, 1974.8123116, 2043.2902302, 27.8856034
7.15479999999983, 2705.0054323, 900.6159176, 1974.5596404, 2043.2161381, 27.9298748
7.15789999999983, 2704.6501623, 901.0239661, 1974.3071149, 2043.1425448, 27.9740201
7.16099999999983, 2704.2954284, 901.4319624, 1974.0547355, 2043.0694499, 28.0180390
7.16409999999983, 2703.9412301, 901.8399067, 1973.8025023, 2042.9968533, 28.0619312
7.16719999999983, 2703.5875671, 902.2477987, 1973.5504157, 2042.9247546, 28.1056964
7.17029999999983, 2703.2344392, 902.6556387, 1973.2984758, 2042.8531536, 28.1493345
7.17339999999983, 2702.8818459, 903.0634266, 1973.0466829, 2042.7820499, 28.1928451
7.17649999999983, 2702.5297869, 903.4711625, 1972.7950372, 2042.7114434, 28.2362279
7.17959999999983, 2702.1782618, 903.8788464, 1972.5435391, 2042.6413338, 28.2794828
7.18269999999983, 2701.8272704, 904.2864784, 1972.2921886, 2042.5717208, 28.3226094
7.18579999999983, 2701.4768122, 904.6940584, 1972.0409862, 2042.5026042, 28.3656074
7.18889999999983, 2701.1268869, 905.1015864, 1971.7899319, 2042.4339837, 28.4084766
7.19199999999983, 2700.7774941, 905.5090626, 1971.5390262, 2042.3658590, 28.4512168
7.19509999999983, 2700.4286336, 905.9164870, 1971.2882691, 2042.2982299, 28.4938276
7.19819999999983, 2700.0803049, 906.3238595, 1971.0376610, 2042.2310962, 28.5363088
7.20129999999983, 2699.7325078, 906.7311803, 1970.7872020, 2042.1644575, 28.5786601
7.20439999999983, 2699.3852418, 907.1384493, 1970.5368925, 2042.0983137, 28.6208812
7.20749999999983, 2699.0385066, 907.5456665, 1970.2867326, 2042.0326644, 28.6629719
7.21059999999983, 2698.6923020, 907.9528321, 1970.0367226, 2041.9675095, 28.7049319
7.21369999999983, 2698.3466274, 908.3599460, 1969.7868628, 2041.9028486, 28.7467609
7.21679999999983, 2698.0014826, 908.7670083, 1969.5371533, 2041.8386816, 28.7884587
7.21989999999983, 2697.6568673, 909.1740190, 1969.2875944, 2041.7750082, 28.8300249
7.22299999999983, 2697.3127810, 909.5809781, 1969.0381864, 2041.7118281, 28.8714593
7.22609999999983, 2696.9692235, 909.9878857, 1968.7889294, 2041.6491411, 28.9127617
7.22919999999983, 2696.6261944, 910.3947418, 1968.5398237, 2041.5869469, 28.9539317
7.23229999999983, 2696.2836933, 910.8015464, 1968.2908696, 2041.5252454, 28.9949691
7.23539999999983, 2695.9417200, 911.2082995, 1968.0420672, 2041.4640362, 29.0358736
7.23849999999983, 2695.6002740, 911.6150012, 1967.7934168, 2041.4033192, 29.0766449
7.24159999999983, 2695.2593550, 912.0216516, 1967.5449187, 2041.3430941, 29.1172828
7.24469999999983, 2694.9189626, 912.4282506, 1967.2965730, 2041.2833606, 29.1577869
7.24779999999983, 2694.5790966, 912.8347983, 1967.0483800, 2041.2241186, 29.1981571
7.25089999999983, 2694.2397565, 913.2412947, 1966.8003399, 2041.1653678, 29.2383929
7.25399999999983, 2693.9009421, 913.6477399, 1966.5524529, 2041.1071079, 29.2784942
7.25709999999983, 2693.5626530, 914.0541338, 1966.3047193, 2041.0493388, 29.3184606
7.26019999999983, 2693.2248888, 914.4604765, 1966.0571394, 2040.9920601, 29.3582919
