,C,D,I,S,T
0.2077, 1232.8307669, 1.3591451, 326.1589296, 8005.1091925, 30.6867845
0.2108, 1261.0313018, 1.4277668, 333.9937603, 7969.2239539, 30.4844168
0.2139, 1288.9758784, 1.4980004, 341.7819525, 7933.5091014, 30.4179553
0.217, 1316.6662556, 1.5698364, 349.5237570, 7897.9858933, 30.4631624
0.2201, 1344.1042642, 1.6432652, 357.2194431, 7862.6717331, 30.5997262
0.2232, 1371.2917924, 1.7182773, 364.8692952, 7827.5808100, 30.8106103
0.2263, 1398.2307733, 1.7948633, 372.4736098, 7792.7246305, 31.0815154
0.2294, 1424.9231749, 1.8730139, 380.0326933, 7758.1124591, 31.4004317
0.2325, 1451.3709913, 1.9527197, 387.5468595, 7723.7516854, 31.7572679
0.2356, 1477.5762357, 2.0339715, 395.0164285, 7689.6481294, 32.1435418
0.2387, 1503.5409342, 2.1167602, 402.4417249, 7655.8062956, 32.5521227
0.2418, 1529.2671214, 2.2010766, 409.8230764, 7622.2295860, 32.9770163
0.2449, 1554.7568353, 2.2869117, 417.1608134, 7588.9204775, 33.4131851
0.248, 1580.0121148, 2.3742566, 424.4552677, 7555.8806703, 33.8563979
0.2511, 1605.0349959, 2.4631023, 431.7067720, 7523.1112128, 34.3031043
0.2542, 1629.8275097, 2.5534400, 438.9156590, 7490.6126054, 34.7503288
0.2573, 1654.3916806, 2.6452610, 446.0822614, 7458.3848887, 35.1955821
0.2604, 1678.7295238, 2.7385566, 453.2069111, 7426.4277168, 35.6367869
0.2635, 1702.8430449, 2.8333182, 460.2899391, 7394.7404194, 36.0722153
0.2666, 1726.7342377, 2.9295372, 467.3316748, 7363.3220540, 36.5004354
0.2697, 1750.4050841, 3.0272051, 474.3324464, 7332.1714497, 36.9202675
0.2728, 1773.8575527, 3.1263136, 481.2925800, 7301.2872446, 37.3307462
0.2759, 1797.0935984, 3.2268542, 488.2124000, 7270.6679170, 37.7310884
0.279, 1820.1151617, 3.3288187, 495.0922286, 7240.3118121, 38.1206670
0.2821, 1842.9241685, 3.4321989, 501.9323857, 7210.2171642, 38.4989872
0.2852, 1865.5225295, 3.5369866, 508.7331893, 7180.3821159, 38.8656682
0.2883, 1887.9121400, 3.6431738, 515.4949546, 7150.8047346, 39.2204259
0.2914, 1910.0948798, 3.7507523, 522.2179945, 7121.4830257, 39.5630592
0.2945, 1932.0726127, 3.8597144, 528.9026195, 7092.4149446, 39.8934381
0.2976, 1953.8471869, 3.9700520, 535.5491376, 7063.5984069, 40.2114934
0.3007, 1975.4204345, 4.0817573, 542.1578540, 7035.0312963, 40.5172081
0.3038, 1996.7941714, 4.1948227, 548.7290715, 7006.7114727, 40.8106096
0.3069, 2017.9701976, 4.3092403, 555.2630903, 6978.6367777, 41.0917636
0.31, 2038.9502972, 4.4250025, 561.7602080, 6950.8050405, 41.3607681
0.3131, 2059.7362379, 4.5421018, 568.2207195, 6923.2140821, 41.6177493
0.3162, 2080.3297718, 4.6605307, 574.6449171, 6895.8617198, 41.8628566
0.3193, 2100.7326348, 4.7802816, 581.0330905, 6868.7457699, 42.0962596
0.3224, 2120.9465471, 4.9013472, 587.3855269, 6841.8640511, 42.3181449
0.3255, 2140.9732130, 5.0237201, 593.7025107, 6815.2143870, 42.5287131
0.3286, 2160.8143210, 5.1473931, 599.9843237, 6788.7946083, 42.7281765
0.3317, 2180.4715443, 5.2723589, 606.2312454, 6762.6025546, 42.9167573
0.3348, 2199.9465403, 5.3986104, 612.4435523, 6736.6360761, 43.0946854
0.3379, 2219.2409511, 5.5261404, 618.6215189, 6710.8930351, 43.2621970
0.341, 2238.3564037, 5.6549419, 624.7654165, 6685.3713069, 43.4195331
0.3441, 2257.2945095, 5.7850080, 630.8755145, 6660.0687814, 43.5669382
0.3472, 2276.0568654, 5.9163315, 636.9520795, 6634.9833636, 43.7046594
0.3503, 2294.6450529, 6.0489057, 642.9953755, 6610.1129747, 43.8329454
0.353399999999999, 2313.0606390, 6.1827238, 649.0056642, 6585.4555525, 43.9520452
0.356499999999999, 2331.3051759, 6.3177788, 654.9832050, 6561.0090519, 44.0622081
0.359599999999999, 2349.3802013, 6.4540642, 660.9282546, 6536.7714460, 44.1636822
0.362699999999999, 2367.2872386, 6.5915733, 666.8410674, 6512.7407257, 44.2567146
0.365799999999999, 2385.0277966, 6.7302993, 672.7218955, 6488.9149007, 44.3415503
0.368899999999999, 2402.6033705, 6.8702358, 678.5709887, 6465.2919995, 44.4184320
0.371999999999999, 2420.0154409, 7.0113763, 684.3885942, 6441.8700694, 44.4875997
0.375099999999999, 2437.2654751, 7.1537142, 690.1749571, 6418.6471772, 44.5492902
0.378199999999999, 2454.3549261, 7.2972431, 695.9303203, 6395.6214089, 44.6037369
0.381299999999999, 2471.2852338, 7.4419567, 701.6549242, 6372.7908700, 44.6511697
0.384399999999999, 2488.0578243, 7.5878486, 707.3490070, 6350.1536856, 44.6918144
0.387499999999999, 2504.6741106, 7.7349126, 713.0128049, 6327.7080001, 44.7258929
0.390599999999999, 2521.1354923, 7.8831425, 718.6465517, 6305.4519777, 44.7536228
0.393699999999999, 2537.4433561, 8.0325321, 724.2504791, 6283.3838017, 44.7752171
0.396799999999999, 2553.5990756, 8.1830752, 729.8248167, 6261.5016753, 44.7908848
0.399899999999999, 2569.6040118, 8.3347657, 735.3697918, 6239.8038207, 44.8008299
0.402999999999999, 2585.4595128, 8.4875978, 740.8856297, 6218.2884795, 44.8052519
0.406099999999999, 2601.1669143, 8.6415652, 746.3725538, 6196.9539124, 44.8043458
0.409199999999999, 2616.7275396, 8.7966622, 751.8307852, 6175.7983993, 44.7983016
0.412299999999999, 2632.1426997, 8.9528828, 757.2605430, 6154.8202388, 44.7873049
0.415399999999999, 2647.4136933, 9.1102212, 762.6620444, 6134.0177482, 44.7715363
0.418499999999999, 2662.5418072, 9.2686715, 768.0355045, 6113.3892635, 44.7511719
0.421599999999999, 2677.5283164, 9.4282280, 773.3811364, 6092.9331391, 44.7263830
0.424699999999999, 2692.3744838, 9.5888850, 778.6991514, 6072.6477475, 44.6973363
0.427799999999999, 2707.0815609, 9.7506368, 783.9897588, 6052.5314794, 44.6641940
